filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 1 to 800,2022,2022,15.2,Red,US,"This is a peppery, spicy wine that has a leathery, full-bodied feel. Succulent waves of blueberry are velvety smooth on the palate, offering an impressive marriage between richness and balance. The blend is mostly Merlot, with Cabernet Sauvignon, Cabernet Franc, Malbec and Petit Verdot.",Murasaki Estate Bottled Proprietary,280,95,2.947368421,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Kenzo Estate 2015 Murasaki Estate Bottled Proprietary Red (Napa Valley),https://www.winemag.com/buying-guide/kenzo-estate-2015-murasaki-estate-bottled-proprietary-red-napa-valley-306470/,Bordeaux-style Red Blend,2015,Kenzo Estate
winemag 1 to 800,2235,2235,15.2,Red,US,"A woody and herbal nose follows through to the structured, rich palate, along with sage and cedar. Black cherry and currant define the flavors, while toasted oak lends support. The blend is 47% Cabernet Sauvignon, 33% Merlot, 10% Cabernet Franc, 6% Petit Verdot and 4% Malbec. Enjoy 2025-2030.",Rindo Estate Bottled,130,95,1.368421053,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Kenzo Estate 2015 Rindo Estate Bottled Red (Napa Valley),https://www.winemag.com/buying-guide/kenzo-estate-2015-rindo-estate-bottled-red-napa-valley-306469/,Bordeaux-style Red Blend,2015,Kenzo Estate
winemag 1 to 800,6040,6040,13.8,Red,US,"The nose on this blend of 61% Cabernet Sauvignon, 21% Merlot, 8% Cabernet Franc, 5% Petit Verdot and 5% Malbec is showy at first with candied black currant, but then it is elegantly straightforward, with layers of violet. It's tightly wound on the palate, with a clean yet taut structure and pitch-perfect acidity, carrying purple-fruit and dried herb flavors, all expertly integrated.",Piocho Reserve,32,95,0.336842105,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Happy Canyon of Santa Barbara,"34.4206415, -119.6994278",34.4206415,-119.6994278,Happy Canyon Vineyard 2014 Piocho Reserve Red (Happy Canyon of Santa Barbara),https://www.winemag.com/buying-guide/happy-canyon-vineyard-2014-piocho-reserve-red-happy-canyon-of-santa-barbara-301879/,Bordeaux-style Red Blend,2014,Happy Canyon Vineyard
winemag 1 to 800,6048,6048,15,Red,US,"This blends a majority of Cabernet Sauvignon with 6% Cabernet Franc and smaller amounts of Petit Verdot and Merlot, fermenting the entirety in barrel. Black pepper, leather and rough-hewn, grippy tannin dominate elusive black fruit, pencil shavings and cedar, all within a context of sizzling intensity. This is one to age; enjoy best 2024-2034.",ERA,350,95,3.684210526,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Alpha Omega 2014 ERA Red (Napa Valley),https://www.winemag.com/buying-guide/alpha-omega-2014-era-red-napa-valley-301456/,Bordeaux-style Red Blend,2014,Alpha Omega
winemag 10401 to 11200,7246,22508,15.6,Red,US,"A Bordeaux blend based on Cabernet Sauvignon and Merlot, the grapes for this stunning wine came from David Abreu's vineyard in the St. Helena foothills. It's very complex, softer, more open and approachable than Colgin's 100% Cabs, with a flamboyant spectrum of cherries,  framboise, cocoa, violets, gingerbread and spices framed in supple, fine tannins. Beautiful, a feminine wine of great beauty. Drink now through 2015.",Cariad,225,95,2.368421053,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Colgin 2003 Cariad Red (Napa Valley),https://www.winemag.com/buying-guide/colgin-2003-cariad-red-napa-valley/,Bordeaux-style Red Blend,2003,Colgin
winemag 12001 to 12800,6462,53153,,Red,US,"What a great success. Oozes with blackcurrant jam and cassis and a dash of black pepper. Flamboyant oak adds a perfume of vanilla and smoke. Fleshy, long and full, this beautiful wine is not a monster, but it coats the palate with spicy flavors that epitomize class and style.",Cask 23,150,95,1.578947368,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Stag's Leap Wine Cellars 1998 Cask 23 Red (Napa Valley),https://www.winemag.com/buying-guide/stags-leap-wine-cellars-1998-cask-23-red-napa-valley/,Bordeaux-style Red Blend,1998,Stag's Leap Wine Cellars
winemag 12001 to 12800,11654,58345,13.8,Red,US,"Opens with aromas of black cherry and pencil lead, fruitcake and cookie dough; now it's all one big melange wrapped a bit tight. The balance and immense depth of fruit shine, even in this unevolved state. Standard dark-plum and chocolate notes are rendered with uncommon subtlety here. The finish goes on and on. Needs four to six years, but will last and last.",Insignia,120,95,1.263157895,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Joseph Phelps 1997 Insignia Red (Napa Valley),https://www.winemag.com/buying-guide/joseph-phelps-1997-insignia-red-napa-valley/,Bordeaux-style Red Blend,1997,Joseph Phelps
winemag 2401 to 3200,153,77573,13.9,Red,US,"An extreme and lovely amount of dill and spearmint shows on the nose of this exciting bottling by the Daou brothers, whose blend of 54% Malbec, 27% Cabernet Franc and 19% Petite Verdot also offers squeezed black-plum aromas. The palate is deep and rich but also fresh, lively and minty, with more dill laid across a blueberry and plum base, with a touch of charcoal.",Cuvée Lizzy,75,95,0.789473684,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Adelaida District,"35.6453970, -120.8741380",35.645397,-120.874138,Daou 2014 Cuvée Lizzy Red (Adelaida District),https://www.winemag.com/buying-guide/daou-2014-cuvee-lizzy-red-adelaida-district/,Bordeaux-style Red Blend,2014,Daou
winemag 2401 to 3200,1997,79417,15,Red,US,"This is Robert Mondavi winemaker Genevieve Janssens own micro-project with husband Luc, and she doesn't miss the chance to craft a classic, gorgeous wine. Blending 85% Cabernet Sauvignon from Hendry Ranch and 15% Cabernet Franc from Detert East Vineyard, this wine offers luxurious aromatics and a juicy core of blackberry, black cherry and soft, integrated tannin, a beautiful marriage of sites and vintner.",,145,95,1.526315789,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Portfolio 2012 Red (Napa Valley),https://www.winemag.com/buying-guide/portfolio-2012-red-napa-valley/,Bordeaux-style Red Blend,2012,Portfolio
winemag 3201 to 4000,6208,99088,13.3,Red,US,"From a label owned by former L.A. Laker Sasha Vujacic, this Merlot-dominant wine delivers aromas of bricks, dust, black cherries, dried oregano and cedar, the sense of ripe but serious fruit lingering in the background. The energetic, grippy palate is reminiscent of Vietnamese coffee-creamy yet properly bitter, rich and flavorful-with blueberry and tart blackberry fruit proving lush and welcoming.",,75,95,0.789473684,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Paso Robles,"35.6804202, -120.6406520",35.6804202,-120.640652,Aleksander 2011 Red (Paso Robles),https://www.winemag.com/buying-guide/aleksander-2011-red-paso-robles/,Bordeaux-style Red Blend,2011,Aleksander
winemag 3201 to 4000,9955,102835,14.5,Red,US,"A magical blend of 93% Cabernet Sauvignon, 5% Petit Verdot and 2% Cabernet Franc, this estate-crafted blend exudes elegance, etching out silos of herb, lavender, cedar and earth around savory-laced texture. A powerful concentration of dark chocolate appears on the lengthy finish, the wine sourced from dry-farmed, impeccably tended vines. Cellar through 2027.",Estate Bottled,199,95,2.094736842,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Dominus 2012 Estate Bottled Red (Napa Valley),https://www.winemag.com/buying-guide/dominus-2012-estate-bottled-red-napa-valley/,Bordeaux-style Red Blend,2012,Dominus
