filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating, cost per point ,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 10401 to 11200,4228,19490,13.9,White,US,"Weak and vegetal, with just the barest note of Chardonnay juice, this is a pretty forgettable wine.",,9,80, $0.11 ,California,Mendocino County,"39.5500194, -123.4383530",39.5500194,-123.438353,Mendocino County,"39.3366700, -123.3000000",39.33667,-123.3,Stone Creek 2004 Chardonnay (Mendocino County),https://www.winemag.com/buying-guide/stone-creek-2004-chardonnay-mendocino-lake-counties-county/,Chardonnay,2004,Stone Creek
winemag 10401 to 11200,11642,26904,,White,US,"Has a persistent vegetal smell and taste, despite some flavors of canned peaches. Tasted twice.",,18,80, $0.23 ,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Oak Knoll District,"38.3583300, -122.3338900",38.35833,-122.33389,Hagafen 2004 Chardonnay (Oak Knoll District),https://www.winemag.com/buying-guide/hagafen-2004-chardonnay-napa-oak-knoll-district/,Chardonnay,2004,Hagafen
winemag 10401 to 11200,13596,28858,,White,US,"Dry and acidic, with an unclean finish, this is a Chardonnay to avoid.",,12,80, $0.15 ,California,Mendocino County,"39.5500194, -123.4383530",39.5500194,-123.438353,Mendocino County,"39.3366700, -123.3000000",39.33667,-123.3,Three Families 2004 Chardonnay (Mendocino County),https://www.winemag.com/buying-guide/three-families-2004-chardonnay-mendocino-lake-counties-county/,Chardonnay,2004,Three Families
winemag 11201 to 12000,15119,46068,,White,US,"Awful, and just barely acceptable as a table wine. Starts with vegetable aromas of canned asparagus, and turns sharp and acidic in the mouth, without a trace of fruity flavor.",,8,80, $0.10 ,California,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,Falkner 2000 Chardonnay (South Coast),https://www.winemag.com/buying-guide/falkner-2000-chardonnay-south-coast/,Chardonnay,2000,Falkner
winemag 12001 to 12800,8635,55326,,White,US,"Awkward and earthy, with off-putting medicinal, herbal aromas and flavors.  There are some apple notes but they are drowned in tart, chemically ones.  This is a difficult wine to say anything nice about.",Reserve,20,80, $0.25 ,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Lodi,"38.1341477, -121.2722194",38.1341477,-121.2722194,Phillips 1999 Reserve Chardonnay (Lodi),https://www.winemag.com/buying-guide/phillips-1999-reserve-chardonnay-central-valley-lodi/,Chardonnay,1999,Phillips
winemag 12001 to 12800,9285,55976,,White,US,"Odd aromas mark this unbalanced wine, as do musty, grapefruit-juice flavors and sour finish. It's just barely drinkable.",Nagasawa Vineyard,16,80, $0.20 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,Paradise Ridge 1998 Nagasawa Vineyard Chardonnay (Sonoma County),https://www.winemag.com/buying-guide/paradise-ridge-1998-nagasawa-vineyard-chardonnay-sonoma-county/,Chardonnay,1998,Paradise Ridge
winemag 12001 to 12800,9384,56075,,White,US,"Smells earthy and funky, with aromas of canned mandarin oranges, crushed hard spices, coffee and roasted wood. Has flavors of peaches, apples and earth. Kind of rough around the edges and simple, but drinkable.",,16,80, $0.20 ,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Lodi,"38.1341477, -121.2722194",38.1341477,-121.2722194,Silk Oak 1999 Chardonnay (Lodi),https://www.winemag.com/buying-guide/silk-oak-1999-chardonnay-central-valley-lodi/,Chardonnay,1999,Silk Oak
winemag 12001 to 12800,12970,59661,13.8,White,US,A heavily oaked nose contains cheese-like elements and a hint of oxidation. The soft creamy mouthfeel is offset by tired apple flavors and lemony acidity. Barely acceptable.,Private Reserve,18,80, $0.23 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,Wildhurst 1997 Private Reserve Chardonnay (Sonoma County),https://www.winemag.com/buying-guide/wildhurst-1997-private-reserve-chardonnay-sonoma-county/,Chardonnay,1997,Wildhurst
winemag 4801 to 5600,5684,129577,13.1,White,US,"A barrel fermented Chardonnay that is uncharacteristically soft and fruity. Aromas of bananas and bubble gum lead to slightly sweet, uncomplicated flavors. The texture and body are light.",,10,80, $0.13 ,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Lodi,"38.1341477, -121.2722194",38.1341477,-121.2722194,Campus Oaks 2012 Chardonnay (Lodi),https://www.winemag.com/buying-guide/campus-oaks-2012-chardonnay-central-valley-lodi/,Chardonnay,2012,Campus Oaks
winemag 4801 to 5600,9955,133848,14.1,White,US,"Tasted in early February, this Chardonnay had some secondary fermentation in the bottle, giving it a bubbly feeling. This major flaw may disappear in time.",Kruse Vineyards,36,80, $0.45 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Jack Creek 2011 Kruse Vineyards Chardonnay (Central Coast),https://www.winemag.com/buying-guide/jack-creek-2011-kruse-chardonnay-central-coast/,Chardonnay,2011,Jack Creek
