Type of Wine,Descriptor ,Descriptor Count,How Often Descriptor Appears
California Chardonnay - All,oak ,3954,41%
California Chardonnay - All,apple ,2568,27%
California Chardonnay - All,vanilla ,2138,22%
California Chardonnay - All,pear ,1979,21%
California Chardonnay - All,pineapple ,1956,20%
California Chardonnay - All,rich ,1938,20%
California Chardonnay - All,ripe ,1918,20%
California Chardonnay - All,lemon ,1873,19%
California Chardonnay - All,peach ,1504,16%
California Chardonnay - All,toast ,1499,16%
California Chardonnay - All,crisp ,1496,16%
California Chardonnay - All,tropical ,1494,16%
California Chardonnay - All,buttered ,1360,14%
California Chardonnay - All,dry ,1288,13%
California Chardonnay - All,creamy ,1233,13%
California Chardonnay - All,sweet ,1205,13%
California Chardonnay - All,lime ,1126,12%
California Chardonnay - All,green ,1061,11%
California Chardonnay - All,good ,1014,11%
California Chardonnay - All,citrus ,1004,10%
California Chardonnay - All,oaky ,881,9%
California Chardonnay - All,minerality ,783,8%
California Chardonnay - All,orange ,754,8%
California Chardonnay - All,clean ,753,8%
California Chardonnay - All,bright ,748,8%
California Chardonnay - All,balanced ,735,8%
California Chardonnay - All,caramel ,708,7%
California Chardonnay - All,smoky ,699,7%
California Chardonnay - All,apples ,674,7%
California Chardonnay - All,pineapples ,632,7%
California Chardonnay - All,complex ,630,7%
California Chardonnay - All,tart ,618,6%
California Chardonnay - All,spice ,606,6%
California Chardonnay - All,spicy ,603,6%
California Chardonnay - All,honey ,595,6%
California Chardonnay - All,richness ,588,6%
California Chardonnay - All,new ,563,6%
California Chardonnay - All,balance ,559,6%
California Chardonnay - All,fresh ,552,6%
California Chardonnay - All,apricot ,548,6%
California Chardonnay - All,peaches ,541,6%
California Chardonnay - All,light ,535,6%
California Chardonnay - All,soft ,520,5%
California Chardonnay - All,butter ,508,5%
California Chardonnay - All,long ,504,5%
California Chardonnay - All,cream ,498,5%
California Chardonnay - All,pears ,494,5%
California Chardonnay - All,butterscotch ,490,5%
California Chardonnay - All,toasty ,452,5%
California Chardonnay - All,elegant ,442,5%
,,,
California Chardonnay - 80-84 Points,oak ,423,34%
California Chardonnay - 80-84 Points,sweet ,353,29%
California Chardonnay - 80-84 Points,pineapple ,334,27%
California Chardonnay - 80-84 Points,simple ,268,22%
California Chardonnay - 80-84 Points,vanilla ,248,20%
California Chardonnay - 80-84 Points,peach ,212,17%
California Chardonnay - 80-84 Points,dry ,193,16%
California Chardonnay - 80-84 Points,oaky ,185,15%
California Chardonnay - 80-84 Points,buttered ,181,15%
California Chardonnay - 80-84 Points,apple ,157,13%
California Chardonnay - 80-84 Points,toast ,152,12%
California Chardonnay - 80-84 Points,ripe ,152,12%
California Chardonnay - 80-84 Points,pear ,137,11%
California Chardonnay - 80-84 Points,soft ,130,11%
California Chardonnay - 80-84 Points,crisp ,120,10%
California Chardonnay - 80-84 Points,peaches ,119,10%
California Chardonnay - 80-84 Points,apricot ,118,10%
California Chardonnay - 80-84 Points,creamy ,117,10%
California Chardonnay - 80-84 Points,good ,113,9%
California Chardonnay - 80-84 Points,tropical ,112,9%
California Chardonnay - 80-84 Points,orange ,109,9%
California Chardonnay - 80-84 Points,pineapples ,95,8%
California Chardonnay - 80-84 Points,caramel ,93,8%
California Chardonnay - 80-84 Points,jam ,92,7%
California Chardonnay - 80-84 Points,clean ,90,7%
California Chardonnay - 80-84 Points,thin ,84,7%
California Chardonnay - 80-84 Points,green ,83,7%
California Chardonnay - 80-84 Points,fruity ,78,6%
California Chardonnay - 80-84 Points,sugary ,77,6%
