filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 5601 to 6400,15538,155009,12.5,Red,France,"While this wine has the richness and warmth of its vintage, it also has a fine, dusty, tannic structure, which gives it a serious aspect. Ripe black-plum and berry flavors provide a generous feel, while the crisp acidity offsets the ripeness.",,8,90,0.088888889,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Blaye Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Chantemerle 2009  Blaye Cotes de Bordeaux,https://www.winemag.com/buying-guide/chateau-chantemerle-2009-red-blaye-cotes/,Bordeaux-style Red Blend,2009,Château Chantemerle
winemag 5601 to 6400,5786,145257,13.5,Red,France,"A rich, bold wine full of wood flavors that are already well integrated with the ripe fruit and solid tannins. The wine is dense, while having a surface polish of smooth fruitiness. Give the wine 3-5 years.",,10,90,0.111111111,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Blaye Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château La Roche Bazin 2011  Blaye Cotes de Bordeaux,https://www.winemag.com/buying-guide/chateau-roche-bazin-2011-red-blaye-cotes/,Bordeaux-style Red Blend,2011,Château La Roche Bazin
winemag 4801 to 5600,14725,138618,13,Red,France,"This is a wine with potential. It has weight and ripe berry fruits balanced with solid tannins and a dense texture. Behind the structure, the fruit and acidity promise good things. Drink from 2016.",,10,90,0.111111111,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Camelot la Chapelle 2011  Bordeaux,https://www.winemag.com/buying-guide/chateau-camelot-chapelle-2011-red-bordeaux/,Bordeaux-style Red Blend,2011,Château Camelot la Chapelle
winemag 1 to 800,4685,4685,14,Red,France,"In this rich wine, powerful, spicy tannins and a solid structure pair well with the black fruits. It shows the density of the vintage as well as its potential. Drink this structured wine from 2022.",,11,90,0.122222222,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Joinin 2016  Bordeaux,https://www.winemag.com/buying-guide/chateau-joinin-2016-bordeaux/,Bordeaux-style Red Blend,2016,Château Joinin
winemag 1 to 800,4948,4948,13.5,Red,France,"Ripe and spicy, balancing tannins with dark fruits, this wine has excellent potential. It is solid and concentrated. Tannins from the wood and from the black fruitsÂ have come together well. Drink from 2022.",,11,90,0.122222222,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Bolaire 2016  Bordeaux Supérieur,https://www.winemag.com/buying-guide/chateau-bolaire-2016-bordeaux-superieur/,Bordeaux-style Red Blend,2016,Château Bolaire
winemag 5601 to 6400,15577,155048,,Red,France,"Powerful, rich and dense, this has tannins and fruit that share the same generosity and ripeness. The wood influence provides a caramel character at the back of the sweet-tasting fruit notes. Age for 4-5 years.",Vieilles Vignes,11,90,0.122222222,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Sainte Marie 2010 Vieilles Vignes  (Bordeaux Supérieur),https://www.winemag.com/buying-guide/chateau-sainte-marie-2010-vieilles-vignes-red-superieur/,Bordeaux-style Red Blend,2010,Château Sainte Marie
winemag 1 to 800,4892,4892,14,Red,France,"This rich wine is full of ripe fruits and some firm tannins that are already integrated. Full, warm and spicy, it has excellent potential. Drink from 2021.",,12,90,0.133333333,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Vieux Manoir 2016  Bordeaux,https://www.winemag.com/buying-guide/chateau-vieux-manoir-2016-bordeaux/,Bordeaux-style Red Blend,2016,Château Vieux Manoir
winemag 1 to 800,4895,4895,14.5,Red,France,"This rich, juicy wine offers swathes of black fruit and balanced, firm tannins. Still very young, it is structured and dense, packed with blackberry flavors with a concentrated, dark aftertaste. Drink from 2021.",,12,90,0.133333333,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Lary 2016  Bordeaux,https://www.winemag.com/buying-guide/chateau-lary-2016-bordeaux/,Bordeaux-style Red Blend,2016,Château Lary
winemag 1 to 800,4947,4947,13.5,Red,France,"Ripe and rich, this juicy wine is full of black fruits. It is balanced, with soft tannins partnering with berry flavors and acidity. The wine will develop well, so drink from 2020.",,12,90,0.133333333,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Briot 2016  Bordeaux,https://www.winemag.com/buying-guide/chateau-briot-2016-bordeaux/,Bordeaux-style Red Blend,2016,Château Briot
winemag 801 to 1600,12394,214437,,Red,France,"This rich, ripe and generous wine is full of blackberry fruit and tannin. It's powerful, with a solid structure and fine fruitiness. As a result, it has good aging potential, so drink from 2020.",Réserve du Pré carré,12,90,0.133333333,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château les Conseillans 2015 Réserve du Pré carré  (Cotes de Bordeaux),https://www.winemag.com/buying-guide/chateau-les-conseillans-2015-reserve-du-pre-carre-cotes-de-bordeaux/,Bordeaux-style Red Blend,2015,Château les Conseillans
winemag 1 to 800,12876,12876,13.5,Red,France,"This ripe, spicy wine shows indications of wood aging. At the same time it offers plenty of fruit, bright acidity and forward black-currant flavors. Made from two-thirds Merlot and one-third Cabernet Sauvignon, the wine has good potential. Drink from 2021.",,12,90,0.133333333,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Bordeaux Supérieur,"44.8377890, -0.5791800",44.837789,-0.57918,Château Haut Gaudin 2016  Bordeaux Supérieur,https://www.winemag.com/buying-guide/chateau-haut-gaudin-2016-bordeaux-superieur/,Merlot-Cabernet Sauvignon,2016,Château Haut Gaudin
winemag 5601 to 6400,1474,140945,13.5,Red,France,"The wine develops slowly in the glass, closed at first and then bringing on ripe fruits and firm tannins. There is a definite dryness here, solid, textured and darkly structured. It is meant for aging, so don't drink before 2016.",Cuvée Prestige,13,90,0.144444444,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Blaye Cotes de Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Château Tour Saint-Germain 2010 Cuvée Prestige  (Blaye Cotes de Bordeaux),https://www.winemag.com/buying-guide/chateau-tour-saint-germain-2010-cuvee-prestige-red-blaye-cotes/,Bordeaux-style Red Blend,2010,Château Tour Saint-Germain
