filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 10401 to 11200,353,15615,14,Red,US,"The grapes had no problem getting ripe, to judge by the flood of red cherry marmalade, cola and milk chocolate flavors. With its dryness and softness, the wine is delicious, if a little one-dimensional.",Limited Estate Reserve Tatria Meritage Red Table Wine,36,85,0.423529412,California,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,Temecula,"33.5051978, -117.1443378",33.5051978,-117.1443378,Stuart Cellars 2004 Limited Estate Reserve Tatria Meritage Red Table Wine Red (Temecula),https://www.winemag.com/buying-guide/stuart-cellars-2004-limited-estate-reserve-tatria-meritage-red-table-wine-south-coast-temecula/,Bordeaux-style Red Blend,2004,Stuart Cellars
winemag 10401 to 11200,2811,18073,14.3,Red,US,"This Bordeaux blend is pretty good, showing polished berry, cherry and earth flavors with a dry edge of coffee and tobacco. It's still fresh in tannins, even at this age, but is unlikely to develop. Drink now.",Cuvée de la Luna,30,85,0.352941176,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,Valley of the Moon 2002 Cuvée de la Luna Red (Sonoma County),https://www.winemag.com/buying-guide/valley-moon-2002-cuvee-luna-red-sonoma-county/,Bordeaux-style Red Blend,2002,Valley of the Moon
winemag 11201 to 12000,5023,35972,13.5,Red,US,"Enjoy this brawny wine with a nice steak to soften it. It's a bit tannic, but rich in blackberry, plum and oak flavors, and thoroughly dry.",Wild Card Claret,19,85,0.223529412,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Alexander Valley,"38.6129647, -122.7694345",38.6129647,-122.7694345,Murphy-Goode 2002 Wild Card Claret Red (Alexander Valley),https://www.winemag.com/buying-guide/murphy-goode-2002-wild-card-claret-red-sonoma-alexander-valley/,Bordeaux-style Red Blend,2002,Murphy-Goode
winemag 11201 to 12000,14572,45521,14.1,Red,US,"Thin, herbal and tart, with sage, dill and bell pepper flavors accented with hints of cherry and blackberry. The best part is the texture, which is complex and smooth. Not going anywhere, so drink up.",Napanook,39,85,0.458823529,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Dominus 2000 Napanook Red (Napa Valley),https://www.winemag.com/buying-guide/dominus-2000-napanook-red-napa-valley/,Bordeaux-style Red Blend,2000,Dominus
winemag 12001 to 12800,6966,53657,,Red,US,"A Bordeaux blend from inland Mendocino, with an interesting aroma. It's like raspberry and peppermint, or cotton candy with a dollop of smoky oak and vanilla. That minty, cedary flavor persists in the month. It's nice to taste such high acidity in a California wine, but the eccentric flavors are puzzling. -S.H.",Sanel Valley Vineyard Sanel,48,85,0.564705882,California,Mendocino County,"39.5500194, -123.4383530",39.5500194,-123.438353,Mendocino County,"39.3366700, -123.3000000",39.33667,-123.3,Milone 1997 Sanel Valley Vineyard Sanel Red (Mendocino County),https://www.winemag.com/buying-guide/milone-1997-sanel-valley-vineyard-sanel-red-mendocino-lake-counties-county/,Bordeaux-style Red Blend,1997,Milone
winemag 12001 to 12800,12404,59095,13.6,Red,US,Positive tea and raspberry aromas and flavors are partially offset by some root-beer character and an almost chemical quality to the nose that keeps this wine from ever getting out and running with the rest of the pack. The tannins are a bit green and hard.,Private Reserve,50,85,0.588235294,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Howell Mountain,"38.5813900, -122.4500000",38.58139,-122.45,Château Woltner 1997 Private Reserve Red (Howell Mountain),https://www.winemag.com/buying-guide/chateau-woltner-1997-private-reserve-red-napa-howell-mountain/,Bordeaux-style Red Blend,1997,Château Woltner
winemag 12001 to 12800,12410,59101,12.9,Red,US,"This is a pleasant red with red-berry, herb and tobacco aromas. It sports an easy mouthfeel, with tart cherry, plum and mild tobacco flavors. An almost Rhône-like herb note runs through it from nose to close. A nice, even-textured wine with appeal. Drink now through 2004.",Anacapa,32,85,0.376470588,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Santa Ynez Valley,"34.5841542, -120.0973685",34.5841542,-120.0973685,Rusack 1997 Anacapa Red (Santa Ynez Valley),https://www.winemag.com/buying-guide/rusack-1997-anacapa-red-central-coast-santa-ynez-valley/,Bordeaux-style Red Blend,1997,Rusack
winemag 1601 to 2400,11603,73553,14.7,Red,US,"This is made from a majority of Cabernet Sauvignon, with smaller amounts of Merlot, Cabernet Franc and Petit Verdot. Dry and tannic, this imparts red fruit around a greenish tinge of tobacco leaf, the tannins overly robust.",Four Kings,62,85,0.729411765,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Dry Creek Valley,"39.2614426, -121.3414203",39.2614426,-121.3414203,Meeker 2012 Four Kings Red (Dry Creek Valley),https://www.winemag.com/buying-guide/meeker-2012-four-kings-red-dry-creek-valley/,Bordeaux-style Red Blend,2012,Meeker
winemag 1601 to 2400,11662,73612,14.4,Red,US,"A majority of Cabernet Sauvignon is blended with 22% Merlot in this woody, somewhat herbal and robustly intense red, impacted in subtle ways by oak. The finish is meager.",,48,85,0.564705882,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Kelly Family Vineyards 2013 Red (Napa Valley),https://www.winemag.com/buying-guide/kelly-family-vineyards-2013-red-napa-valley/,Bordeaux-style Red Blend,2013,Kelly Family Vineyards
winemag 2401 to 3200,1694,79114,14.7,Red,US,All five Bordeaux red varieties are represented in this wine that puckers in sizable tannin and oak. Tobacco and pencil shavings add savory character to its full-bodied concentration.,Rutherford,85,85,1,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Rutherford,"38.4591012, -122.4225638",38.4591012,-122.4225638,William Harrison 2012 Rutherford Red (Rutherford),https://www.winemag.com/buying-guide/william-harrison-2012-rutherford-red-rutherford/,Bordeaux-style Red Blend,2012,William Harrison
winemag 4001 to 4800,3828,112241,14.5,Red,US,"Made from a majority of Merlot rounded out by other red Bordeaux varieties, this wine leans savory, featuring mushroom and leather within a suggestion of Martini olive water. The fruit is more shy, revealing black currant at best, with a flat, ghost-like finish.",Pauline's Cuvée,30,85,0.352941176,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Atalon 2012 Pauline's Cuvée Red (Napa Valley),https://www.winemag.com/buying-guide/atalon-2012-paulines-cuvee-red-napa-valley/,Bordeaux-style Red Blend,2012,Atalon
winemag 4001 to 4800,5806,114219,13.9,Red,US,"A somewhat basic undertaking of 82% Merlot with 9% Cabernet Franc and 9% Petit Verdot, this is herbal and giving in clove, tobacco and black plum. Medium bodied and soft, it leaves one wanting on the finish.",Angels' Peak,54,85,0.635294118,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Terlato 2011 Angels' Peak Red (Napa Valley),https://www.winemag.com/buying-guide/terlato-2011-angels-peak-red-napa-valley/,Bordeaux-style Red Blend,2011,Terlato
winemag 4001 to 4800,15342,123755,14.6,Red,US,"This feral, smoky Merlot-based Bordeaux blend relies on a mix of Merlot, Cabernet Sauvignon and Cabernet Franc. Red and black berry fruit intermingle amidst robust, dry tannins to make a statement of size and power.",Sonoma Cuvée,40,85,0.470588235,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,St. Francis 2011 Sonoma Cuvée Red (Sonoma County),https://www.winemag.com/buying-guide/st-francis-2011-sonoma-cuvee-red-sonoma-county/,Bordeaux-style Red Blend,2011,St. Francis
winemag 5601 to 6400,2529,142000,14,Red,US,"You'll find savory blackberry, cherry, currant and cola flavors in this dry blend of Cabernet Sauvignon, Merlot and Cabernet Franc, as well as smoky, oaky notes. The problem is excessive softness. There's no proper structure, so it all collapses in mid-palate.",Cheval Rouge,30,85,0.352941176,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Carmel Valley,"36.4799024, -121.7327931",36.4799024,-121.7327931,Boí«té 2009 Cheval Rouge Red (Carmel Valley),https://www.winemag.com/buying-guide/boete-2009-cheval-rouge-red-central-coast-carmel-valley/,Bordeaux-style Red Blend,2009,Boí«té
winemag 5601 to 6400,3735,143206,14.5,Red,US,"This Cabernet-based blend is reminiscent to an old-fashioned Paso style that's soft, ripe and simple. It has candied cherry and blackberry flavors. Drink up.",Mare Nectaris Reserve,44,85,0.517647059,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Paso Robles,"35.6804202, -120.6406520",35.6804202,-120.640652,Midnight 2007 Mare Nectaris Reserve Red (Paso Robles),https://www.winemag.com/buying-guide/midnight-2007-mare-nectaris-reserve-red-central-coast-paso-robles/,Bordeaux-style Red Blend,2007,Midnight
winemag 5601 to 6400,10519,149990,14.1,Red,US,"Cab hardly gets darker or sappier in fruit than this blend of Cabernet Sauvignon and Merlot. It's hard in tannins and sharp, with massively extracted black currant flavors. Doesn't seem to have the balance to age, so drink up.",Surround,40,85,0.470588235,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Valley,"38.2918590, -122.4580356",38.291859,-122.4580356,Stone Edge Farm 2009 Surround Red (Sonoma Valley),https://www.winemag.com/buying-guide/stone-edge-farm-2009-surround-red-sonoma-valley/,Bordeaux-style Red Blend,2009,Stone Edge Farm
winemag 5601 to 6400,10535,150006,14.7,Red,US,"Plenty of upfront raisin, licorice and sweet oak flavors in this dry, Cabernet Sauvignon-based blend. It's a little rough and terse in texture, and ready to drink now.",Cuatro Caminos,18,85,0.211764706,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Paso Robles,"35.6804202, -120.6406520",35.6804202,-120.640652,Alma Sol 2010 Cuatro Caminos Red (Paso Robles),https://www.winemag.com/buying-guide/alma-sol-2010-cuatro-caminos-red-central-coast-paso-robles/,Bordeaux-style Red Blend,2010,Alma Sol
winemag 5601 to 6400,13267,152738,14.2,Red,US,"Made from equal parts of Cabernet Sauvignon, Cabernet Franc and Merlot, this is dry, tannic and oaky, and it offers blackberry jam and black currant flavors.",Proprietary Red Wine,55,85,0.647058824,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Corley 2009 Proprietary Red Wine Red (Napa Valley),https://www.winemag.com/buying-guide/corley-2009-proprietary-red-wine-napa-valley/,Bordeaux-style Red Blend,2009,Corley
winemag 6401 to 7200,1912,157049,14.2,Red,US,"This soft, sweetly gentle wine has forward flavors of cherry, blackberry and chocolate, with hints of pepper and mint. Match it with burritos and tacos.",Five by Five,40,85,0.470588235,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Monterey,"36.3136201, -121.3541631",36.3136201,-121.3541631,De Tierra 2008 Five by Five Red (Monterey),https://www.winemag.com/buying-guide/de-tierra-2008-five-by-five-red-central-coast-monterey/,Bordeaux-style Red Blend,2008,De Tierra
winemag 6401 to 7200,4252,159389,14.5,Red,US,"Very rich and fruity, yet it tastes pretty sweet. If you enjoy a candied blackberry flavor, this could be for you.",Paradiso,65,85,0.764705882,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,V. Sattui 2008 Paradiso Red (Napa Valley),https://www.winemag.com/buying-guide/v-sattui-2008-paradiso-red-napa-valley/,Bordeaux-style Red Blend,2008,V. Sattui
winemag 6401 to 7200,4300,159437,14.5,Red,US,"Based on Merlot, this is soft and pretty simple. The flavors are of red currants, cherry jam, cola and licorice, with a smoky, caramelized sweetness from the oak.",Mon Amour,60,85,0.705882353,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Santa Ynez Valley,"34.5841542, -120.0973685",34.5841542,-120.0973685,Coquelicot 2009 Mon Amour Red (Santa Ynez Valley),https://www.winemag.com/buying-guide/coquelicot-2009-mon-amour-red-central-coast-santa-ynez-valley/,Bordeaux-style Red Blend,2009,Coquelicot
