filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 1 to 800,787,787,14.3,White,US,"Caramelized apple and crème brûlée flavors make for a heady richness in this wine. It finds its balance on the midpalate, where concentrated, silky waves of flavor move to a settling mineral intensity on the finish.",Strata Estate Grown,40,90, $0.44 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,J Vineyards & Winery 2016 Strata Estate Grown Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/j-vineyards-winery-2016-strata-estate-grown-chardonnay-russian-river-valley/,Chardonnay,2016,J Vineyards & Winery
winemag 1 to 800,788,788,14.2,White,US,"This is a floral, concentrated white wine. The entry of lush crème brûlée and fig flavors are met by persistent honeysuckle and toasted oak tones.",Estate Grown,22,90, $0.24 ,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Hess Collection 2016 Estate Grown Chardonnay (Napa Valley),https://www.winemag.com/buying-guide/hess-collection-2016-estate-grown-chardonnay-napa-valley-308892/,Chardonnay,2016,Hess Collection
winemag 1 to 800,904,904,13.9,White,US,"This medium-bodied wine is subtle on the nose, but opens up on the palate to rich fruit and spice flavors that coat the tongue. It is balanced toward the soft side, but with underling acidity to balance the richness.",Estate Bottled Old Head,15,90, $0.17 ,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Dunnigan Hills,"38.7943460, -121.9552466",38.794346,-121.9552466,Matchbook 2017 Estate Bottled Old Head Chardonnay (Dunnigan Hills),https://www.winemag.com/buying-guide/matchbook-2017-estate-bottled-old-head-chardonnay-dunnigan-hills/,Chardonnay,2017,Matchbook
winemag 1 to 800,942,942,13.8,White,US,"This is wine well worth stockpiling, such a good deal it is for the price. Hearty creamy ripeness is balanced and complemented by bold robust stone fruit, baked apple and a lingering thread of stony mineral.",,16,90, $0.18 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,Olema 2016 Chardonnay (Sonoma County),https://www.winemag.com/buying-guide/olema-2016-chardonnay-sonoma-county/,Chardonnay,2016,Olema
winemag 1 to 800,952,952,13.8,White,US,"Oaky and a touch reduced, this wine offers a grip of texture and rich, round concentration. Baked apple and pear flavors are seasoned in tones of vanilla and butterscotch.",Estate Grown,18,90, $0.20 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Valley,"38.2918590, -122.4580356",38.291859,-122.4580356,Kunde 2016 Estate Grown Chardonnay (Sonoma Valley),https://www.winemag.com/buying-guide/kunde-2016-estate-grown-chardonnay-sonoma-valley-308021/,Chardonnay,2016,Kunde
winemag 1 to 800,980,980,14.2,White,US,"Dark-golden color gives way to a rich, rounded exploration of baked apple, nutmeg and toasted oak in this well-made vineyard-designate. The creamier, concentrated tones are given a lift of freshness from persistent acidity.",Dutton Ranch,49,90, $0.54 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,B Cellars 2016 Dutton Ranch Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/b-cellars-2016-dutton-ranch-chardonnay-russian-river-valley/,Chardonnay,2016,B Cellars
winemag 1 to 800,994,994,14.3,White,US,"This white offers tremendous value, being bright, floral and fruity with a touch of restraint. Integrated ripeness and oak are etched in apple, pear and nutmeg, with just enough acidity to keep a level of freshness through the finish.",,30,90, $0.33 ,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Stags' Leap Winery 2016 Chardonnay (Napa Valley),https://www.winemag.com/buying-guide/stags-leap-winery-2016-chardonnay-napa-valley/,Chardonnay,2016,Stags' Leap Winery
winemag 1 to 800,1009,1009,14.3,White,US,"This is a new offering from the producer-a lush expression that offers bold flavors and texture. With complementary oak, it offers rich layers of crème brûlée, caramel and apple, all dusted in nutmeg.",Panthera,45,90, $0.50 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,Hess Collection 2016 Panthera Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/hess-collection-2016-panthera-chardonnay-russian-river-valley-308893/,Chardonnay,2016,Hess Collection
winemag 1 to 800,1039,1039,14.5,White,US,"This is a well-made, full-bodied white that delivers honeyed flavors of salted pretzel and toasted oak. The bolder richer elements are complemented by bright bursts of orange blossom, grapefruit and lemon pith.",Jovita's Selection,44,90, $0.49 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,Buena Vista 2016 Jovita's Selection Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/buena-vista-2016-jovitas-selection-chardonnay-sonoma-coast/,Chardonnay,2016,Buena Vista
winemag 1 to 800,1049,1049,14.5,White,US,"Clean aromas of toast, oak, butter and nectarine cream make for a strong showing of a Paso Robles Chardonnay. There is great grip to the palate right away, with flavors of lime and apple skin leading into a toasted oak finish.",Cavern Select,28,90, $0.31 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Paso Robles,"35.6804202, -120.6406520",35.6804202,-120.640652,Robert Hall 2016 Cavern Select Chardonnay (Paso Robles),https://www.winemag.com/buying-guide/robert-hall-2016-cavern-select-chardonnay-paso-robles/,Chardonnay,2016,Robert Hall
winemag 1 to 800,1062,1062,14.3,White,US,"Dark gold in color, this wine takes on a heady bouquet of honey, graham cracker, vanilla and crème brûlée. Hearty, full bodied and fleshy, its fruit-forward character is defined by flavors of pineapple and mango.",Damaris Reserve,35,90, $0.39 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,Landmark 2016 Damaris Reserve Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/landmark-2016-damaris-reserve-chardonnay-sonoma-coast/,Chardonnay,2016,Landmark
winemag 1 to 800,1328,1328,13.7,White,US,"This wine offers a richness of caramelized oak and toffee that takes on an intensity in the midpalate. It settles into a more balanced presentation of apple, pear and melon with a lushness on the finish.",Rochioli Vineyard,49,90, $0.54 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,Longboard 2016 Rochioli Vineyard Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/longboard-2016-rochioli-vineyard-chardonnay-russian-river-valley/,Chardonnay,2016,Longboard
winemag 1 to 800,1341,1341,13.7,White,US,"A good sense of concentration and balance in this medium-bodied wine give it an appetizing appeal. Fresh apple and pear aromas are lightly shaded with baking spices, and the flavors follow with plenty of fruit, good acidity and a light tang on the finish.",,32,90, $0.36 ,California,Mendocino County,"39.5500194, -123.4383530",39.5500194,-123.438353,Anderson Valley,"39.0865657, -123.4794542",39.0865657,-123.4794542,FEL 2017 Chardonnay (Anderson Valley),https://www.winemag.com/buying-guide/fel-2017-chardonnay-anderson-valley-307476/,Chardonnay,2017,FEL
winemag 1 to 800,1380,1380,14.7,White,US,"Entirely stainless-steel fermented, this is an impressive estate wine, highly aromatic in honeysuckle. Structured and fleshy on the midpalate, it has full-bodied ripeness and a concentration of rich white-peach and apricot flavor.",Small Block Series Estate Grown,55,90, $0.61 ,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Mount Veeder,"38.3793566, -122.4477575",38.3793566,-122.4477575,Hess Collection 2016 Small Block Series Estate Grown Chardonnay (Mount Veeder),https://www.winemag.com/buying-guide/hess-collection-2016-small-block-series-estate-grown-chardonnay-mount-veeder-308891/,Chardonnay,2016,Hess Collection
winemag 1 to 800,2452,2452,13.9,White,US,Walnut and toasted oak aromas meet with poached and roasted apples on the nose. Flavors of sliced yellow pear and honeysuckle sit atop a rocky mineral note on the palate.,Winemaker Series Heritage,40,90, $0.44 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Edna Valley,"35.2001752, -120.6069776",35.2001752,-120.6069776,Edna Valley Vineyard 2016 Winemaker Series Heritage Chardonnay (Edna Valley),https://www.winemag.com/buying-guide/edna-valley-vineyard-2016-winemaker-series-heritage-chardonnay-edna-valley-306375/,Chardonnay,2016,Edna Valley Vineyard
