Index - Sub Populations,France or California,Type of Wine,Rating Bucket,Color,Descriptor ,Descriptor Count, How Often Descriptor Appears 
1,France,Bordeaux Reds,80-84 Points,Red,dry ,133,26.23274
1,France,Bordeaux Reds,85-89 Points,Red,ripe ,1219,42.96792
1,France,Bordeaux Reds,90-94 Points,Red,ripe ,846,53.1741
1,France,Bordeaux Reds,95-100 Points,Red,black ,86,45.02618
1,California,California Cabernet,80-84 Points,Red,dry ,643,29.92089
1,California,California Cabernet,85-89 Points,Red,oak ,2174,32.07436
1,California,California Cabernet,90-94 Points,Red,black ,2824,42.44702
1,California,California Cabernet,95-100 Points,Red,black ,313,51.90713
1,California,California Chardonnay,80-84 Points,White,oak ,423,34.39024
1,California,California Chardonnay,85-89 Points,White,oak ,1843,42.63243
1,California,California Chardonnay,90-94 Points,White,oak ,1611,41.97499
1,California,California Chardonnay,95-100 Points,White,lemon ,78,36.27907
1,France,French Chardonnay,80-84 Points,White,soft ,103,38.28996
1,France,French Chardonnay,85-89 Points,White,ripe ,723,42.40469
1,France,French Chardonnay,90-94 Points,White,ripe ,689,50.77377
1,France,French Chardonnay,95-100 Points,White,ripe ,71,48.96552
2,France,Bordeaux Reds,80-84 Points,Red,black ,85,16.76529
2,France,Bordeaux Reds,85-89 Points,Red,black ,940,33.13359
2,France,Bordeaux Reds,90-94 Points,Red,rich ,728,45.75739
2,France,Bordeaux Reds,95-100 Points,Red,ripe ,84,43.97906
2,California,California Cabernet,80-84 Points,Red,cherry ,583,27.1289
2,California,California Cabernet,85-89 Points,Red,cherry ,2122,31.30717
2,California,California Cabernet,90-94 Points,Red,oak ,2435,36.60003
2,California,California Cabernet,95-100 Points,Red,oak ,268,44.44444
2,California,California Chardonnay,80-84 Points,White,sweet ,353,28.69919
2,California,California Chardonnay,85-89 Points,White,apple ,1181,27.31899
2,California,California Chardonnay,90-94 Points,White,apple ,1174,30.58885
2,California,California Chardonnay,95-100 Points,White,oak ,77,35.81395
2,France,French Chardonnay,80-84 Points,White,light ,78,28.99628
2,France,French Chardonnay,85-89 Points,White,crisp ,523,30.67449
2,France,French Chardonnay,90-94 Points,White,rich ,543,40.01474
2,France,French Chardonnay,95-100 Points,White,rich ,59,40.68966
3,France,Bordeaux Reds,80-84 Points,Red,light ,84,16.56805
3,France,Bordeaux Reds,85-89 Points,Red,juicy ,797,28.09306
3,France,Bordeaux Reds,90-94 Points,Red,black ,620,38.9692
3,France,Bordeaux Reds,95-100 Points,Red,great ,80,41.88482
3,California,California Cabernet,80-84 Points,Red,blackberry ,490,22.8013
3,California,California Cabernet,85-89 Points,Red,blackberry ,1959,28.90233
3,California,California Cabernet,90-94 Points,Red,cherry ,1965,29.53555
3,California,California Cabernet,95-100 Points,Red,chocolate ,195,32.33831
3,California,California Chardonnay,80-84 Points,White,pineapple ,334,27.15447
3,California,California Chardonnay,85-89 Points,White,vanilla ,1083,25.05205
3,California,California Chardonnay,90-94 Points,White,lemon ,1048,27.30589
3,California,California Chardonnay,95-100 Points,White,apple ,56,26.04651
3,France,French Chardonnay,80-84 Points,White,apple ,69,25.65056
3,France,French Chardonnay,85-89 Points,White,apple ,407,23.87097
3,France,French Chardonnay,90-94 Points,White,crisp ,308,22.69713
3,France,French Chardonnay,95-100 Points,White,structure ,43,29.65517
4,France,Bordeaux Reds,80-84 Points,Red,soft ,77,15.18738
4,France,Bordeaux Reds,85-89 Points,Red,firm ,726,25.59041
4,France,Bordeaux Reds,90-94 Points,Red,firm ,441,27.71842
4,France,Bordeaux Reds,95-100 Points,Red,structure ,75,39.26702
4,California,California Cabernet,80-84 Points,Red,soft ,443,20.61424
