Type of Wine,Descriptor ,Descriptor Count,How Often Descriptor Appears
Bordeaux Reds - 80-84 Points,pepper ,14,0.03
Bordeaux Reds - 80-84 Points,future ,14,0.03
Bordeaux Reds - 80-84 Points,herbal ,14,0.03
Bordeaux Reds - 80-84 Points,simple ,14,0.03
Bordeaux Reds - 80-84 Points,spicy ,14,0.03
Bordeaux Reds - 80-84 Points,overripe ,15,0.03
Bordeaux Reds - 80-84 Points,unbalanced ,16,0.03
Bordeaux Reds - 80-84 Points,tannin ,16,0.03
Bordeaux Reds - 80-84 Points,earthy ,17,0.03
Bordeaux Reds - 80-84 Points,oak ,17,0.03
Bordeaux Reds - 80-84 Points,chocolate ,17,0.03
Bordeaux Reds - 80-84 Points,dense ,18,0.04
Bordeaux Reds - 80-84 Points,young ,19,0.04
Bordeaux Reds - 80-84 Points,freshness ,19,0.04
Bordeaux Reds - 80-84 Points,green ,20,0.04
Bordeaux Reds - 80-84 Points,weight ,21,0.04
Bordeaux Reds - 80-84 Points,balance ,23,0.05
Bordeaux Reds - 80-84 Points,crisp ,23,0.05
Bordeaux Reds - 80-84 Points,bright ,23,0.05
Bordeaux Reds - 80-84 Points,burnt ,24,0.05
Bordeaux Reds - 80-84 Points,jammy ,26,0.05
Bordeaux Reds - 80-84 Points,structured ,26,0.05
Bordeaux Reds - 80-84 Points,dark ,27,0.05
Bordeaux Reds - 80-84 Points,good ,28,0.06
Bordeaux Reds - 80-84 Points,austere ,28,0.06
Bordeaux Reds - 80-84 Points,toast ,30,0.06
Bordeaux Reds - 80-84 Points,fruitiness ,31,0.06
Bordeaux Reds - 80-84 Points,smoky ,31,0.06
Bordeaux Reds - 80-84 Points,tight ,33,0.07
Bordeaux Reds - 80-84 Points,extracted ,34,0.07
Bordeaux Reds - 80-84 Points,tannic ,34,0.07
Bordeaux Reds - 80-84 Points,extraction ,35,0.07
Bordeaux Reds - 80-84 Points,stalky ,37,0.07
Bordeaux Reds - 80-84 Points,spice ,37,0.07
Bordeaux Reds - 80-84 Points,ready ,37,0.07
Bordeaux Reds - 80-84 Points,attractive ,43,0.08
Bordeaux Reds - 80-84 Points,ripe ,49,0.1
Bordeaux Reds - 80-84 Points,bitter ,50,0.1
Bordeaux Reds - 80-84 Points,currant ,55,0.11
Bordeaux Reds - 80-84 Points,fresh ,57,0.11
Bordeaux Reds - 80-84 Points,fruity ,58,0.11
Bordeaux Reds - 80-84 Points,berry ,59,0.12
Bordeaux Reds - 80-84 Points,lean ,60,0.12
Bordeaux Reds - 80-84 Points,structure ,64,0.13
Bordeaux Reds - 80-84 Points,firm ,72,0.14
Bordeaux Reds - 80-84 Points,juicy ,72,0.14
Bordeaux Reds - 80-84 Points,soft ,77,0.15
Bordeaux Reds - 80-84 Points,light ,84,0.17
Bordeaux Reds - 80-84 Points,black ,85,0.17
Bordeaux Reds - 80-84 Points,dry ,133,0.26
Bordeaux Reds - 85-89 Points,freshness ,97,0.03
Bordeaux Reds - 85-89 Points,powerful ,97,0.03
Bordeaux Reds - 85-89 Points,new ,102,0.04
Bordeaux Reds - 85-89 Points,wait ,102,0.04
Bordeaux Reds - 85-89 Points,stalky ,105,0.04
Bordeaux Reds - 85-89 Points,sweet ,105,0.04
Bordeaux Reds - 85-89 Points,great ,107,0.04
Bordeaux Reds - 85-89 Points,packed ,127,0.04
Bordeaux Reds - 85-89 Points,perfumed ,133,0.05
Bordeaux Reds - 85-89 Points,developing ,136,0.05
Bordeaux Reds - 85-89 Points,plum ,142,0.05
Bordeaux Reds - 85-89 Points,richness ,153,0.05
Bordeaux Reds - 85-89 Points,smooth ,169,0.06
Bordeaux Reds - 85-89 Points,crisp ,179,0.06
Bordeaux Reds - 85-89 Points,concentrated ,181,0.06
Bordeaux Reds - 85-89 Points,spicy ,183,0.06
Bordeaux Reds - 85-89 Points,bright ,191,0.07
Bordeaux Reds - 85-89 Points,balance ,192,0.07
Bordeaux Reds - 85-89 Points,weight ,206,0.07
Bordeaux Reds - 85-89 Points,generous ,225,0.08
Bordeaux Reds - 85-89 Points,young ,225,0.08
Bordeaux Reds - 85-89 Points,potential ,231,0.08
Bordeaux Reds - 85-89 Points,light ,234,0.08
Bordeaux Reds - 85-89 Points,tannic ,235,0.08
Bordeaux Reds - 85-89 Points,dark ,251,0.09
Bordeaux Reds - 85-89 Points,black-currant ,262,0.09
Bordeaux Reds - 85-89 Points,solid ,267,0.09
Bordeaux Reds - 85-89 Points,smoky ,271,0.1
Bordeaux Reds - 85-89 Points,good ,302,0.11
Bordeaux Reds - 85-89 Points,fruitiness ,325,0.11
Bordeaux Reds - 85-89 Points,balanced ,327,0.12
Bordeaux Reds - 85-89 Points,spice ,329,0.12
Bordeaux Reds - 85-89 Points,blackberry ,334,0.12
Bordeaux Reds - 85-89 Points,dense ,347,0.12
Bordeaux Reds - 85-89 Points,attractive ,390,0.14
Bordeaux Reds - 85-89 Points,currant ,396,0.14
Bordeaux Reds - 85-89 Points,ready ,401,0.14
Bordeaux Reds - 85-89 Points,soft ,405,0.14
Bordeaux Reds - 85-89 Points,structured ,407,0.14
Bordeaux Reds - 85-89 Points,fresh ,407,0.14
Bordeaux Reds - 85-89 Points,full ,414,0.15
Bordeaux Reds - 85-89 Points,berry ,430,0.15
Bordeaux Reds - 85-89 Points,dry ,579,0.2
Bordeaux Reds - 85-89 Points,structure ,585,0.21
Bordeaux Reds - 85-89 Points,fruity ,588,0.21
Bordeaux Reds - 85-89 Points,rich ,668,0.24
Bordeaux Reds - 85-89 Points,firm ,726,0.26
Bordeaux Reds - 85-89 Points,juicy ,797,0.28
Bordeaux Reds - 85-89 Points,black ,940,0.33
Bordeaux Reds - 85-89 Points,ripe ,1219,0.43
Bordeaux Reds - 90-94 Points,developing ,72,0.05
Bordeaux Reds - 90-94 Points,future ,74,0.05
Bordeaux Reds - 90-94 Points,fresh ,76,0.05
Bordeaux Reds - 90-94 Points,spicy ,79,0.05
Bordeaux Reds - 90-94 Points,soft ,80,0.05
Bordeaux Reds - 90-94 Points,big ,82,0.05
Bordeaux Reds - 90-94 Points,attractive ,86,0.05
