filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 801 to 1600,9948,211991,13,Red,France,"There is a tough, tannic core to this otherwise ripe and fruity wine. All to the good, as this will allow the bold, ripe wine to age well. Black-currant fruits are already showing their hand and will intensify, bringing in richness and a dense texture. Drink this wine from 2025.",,30,95,0.315789474,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Labégorce Margaux 2015  Margaux,https://www.winemag.com/buying-guide/chateau-labegorce-margaux-2015-margaux-279147/,Bordeaux-style Red Blend,2015,Château Labégorce Margaux
winemag 11201 to 12000,2410,33359,,Red,France,"It may have had a few winemaking controversies in recent years, but Giscours is now on a roll, under the ownership of Dutch businessman Eric Albada Jelgersma. How good it is, is shown in the 2001 wine, which is generous, almost opulent, rich and dense. Despite the richness, though, this is still Bordeaux: Dry tannins, tarry black-fruit flavors and firmness place the wine definitely at the table.",,40,95,0.421052632,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Giscours 2001  Margaux,https://www.winemag.com/buying-guide/chateau-giscours-2001-red-margaux/,Bordeaux-style Red Blend,2001,Château Giscours
winemag 12001 to 12800,924,47615,,Red,France,"Here is a huge ripe and luxurious wine, with great power. The texture is solid, filled with firm tannins, the flavors are black and ripe. Along with the power, though, is much of the elegance and poise that characterizes great Saint-Julien.",,40,95,0.421052632,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Branaire-Ducru 2000  Saint-Julien,https://www.winemag.com/buying-guide/chateau-branaire-ducru-2000-red-saint-julien/,Bordeaux-style Red Blend,2000,Château Branaire-Ducru
winemag 801 to 1600,10399,212442,13.5,Red,France,"This is a perfumed wine, rich in black currants and acidity as well as firm tannins. It is concentrated and dense while also elegant. The aftertaste boosts the ripe fruit and balanced acidity. Drink from 2025.",,41,95,0.431578947,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Prieuré-Lichine 2015  Margaux,https://www.winemag.com/buying-guide/chateau-prieure-lichine-2015-margaux-279142/,Bordeaux-style Red Blend,2015,Château Prieuré-Lichine
winemag 801 to 1600,9946,211989,13.5,Red,France,"One of the furthest west of the Saint-Julien estates, this property has been greatly improved with investment from Japanese owner Suntory. The wine from 2015 is dense and impressively concentrated, perfumed black-currant fruits working well with the crisp acidity and solid structure. Drink from 2025.",,41,95,0.431578947,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Lagrange 2015  Saint-Julien,https://www.winemag.com/buying-guide/chateau-lagrange-2015-saint-julien-279165/,Bordeaux-style Red Blend,2015,Château Lagrange
winemag 801 to 1600,9947,211990,13.5,Red,France,"A sinuous line of tannins runs through this structured wine. It lifts the dark plum and berry fruits and give shape to the spicy, firm wine. As the estate builds in strength, the style of this perfumed, stylish wine will be seen as a benchmark. Drink from 2025.",,42,95,0.442105263,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,Château Lafon Rochet 2015  Saint-Estéphe,https://www.winemag.com/buying-guide/chateau-lafon-rochet-2015-saint-estephe-279182/,Bordeaux-style Red Blend,2015,Château Lafon Rochet
winemag 801 to 1600,10406,212449,13,Red,France,"Sometimes seen as the junior of the two properties owned by the Barton family in Saint-Julien, this is an impressive estate in its own right, especially in this superripe, smoothly rich wine. Tannins are well wrapped in the generous structure and fruits. Drink from 2025.",,44,95,0.463157895,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Langoa Barton 2015  Saint-Julien,https://www.winemag.com/buying-guide/chateau-langoa-barton-2015-saint-julien-279166/,Bordeaux-style Red Blend,2015,Château Langoa Barton
winemag 2401 to 3200,2008,79428,14,Red,France,"Still dry and concentrated and with swathes of rich tannins, the wine is dark and dense. The undertow of ripe black fruit is impressive. It obviously has considerable aging potential, Drink this serious wine from 2025.",,50,95,0.526315789,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Giscours 2014  Margaux,https://www.winemag.com/buying-guide/chateau-giscours-2014-margaux/,Bordeaux-style Red Blend,2014,Château Giscours
winemag 4801 to 5600,14095,137988,,Red,France,"This is a solid, concentrated wine from a reliable chateau. It has weight and power, with rich black fruits balanced with fresh acidity. Touches of bitter extraction and wood aging are likely to integrate as the wine ages. It should develop into an impressive and powerful wine. Drink from 2018.",,50,95,0.526315789,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pauillac,"45.1995850, -0.7462120",45.199585,-0.746212,Château Pichon Longueville 2011  Pauillac,https://www.winemag.com/buying-guide/chateau-pichon-longueville-2011-red-pauillac/,Bordeaux-style Red Blend,2011,Château Pichon Longueville
winemag 801 to 1600,9928,211971,13.5,Red,France,"This family-owned estate has produced a structured and dark wine with great concentration balanced by acidity and pure, creamy fruit. It is a wine with a good future. The aftertaste leaves juicy acidity and firm tannins. Drink from 2025.",,52,95,0.547368421,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Branaire-Ducru 2015  Saint-Julien,https://www.winemag.com/buying-guide/chateau-branaire-ducru-2015-saint-julien-279161/,Bordeaux-style Red Blend,2015,Château Branaire-Ducru
winemag 2401 to 3200,2007,79427,13.5,Red,France,"This is a complete wine, full of both tannins and great swathes of ripe fruit. It has a serious side as well in its solid structure and concentration. The juicy blackberry fruits are beginning to calm down and meld into a fine dense wine that will age very well. Drink from 2025.",,55,95,0.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Brane-Cantenac 2014  Margaux,https://www.winemag.com/buying-guide/chateau-brane-cantenac-2014-margaux/,Bordeaux-style Red Blend,2014,Château Brane-Cantenac
winemag 2401 to 3200,2009,79429,14,Red,France,"This is a full-bodied wine, from one of the leading estates in Margaux. It is ripe with juicy blackberry and black-currant fruits. This fruit contrasts with the dark tannins and powerful structure. It is going to develop slowly and impressively to be ready to drink from 2025.",,55,95,0.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Rauzan-Ségla 2014  Margaux,https://www.winemag.com/buying-guide/chateau-rauzan-segla-2014-margaux/,Bordeaux-style Red Blend,2014,Château Rauzan-Ségla
winemag 1601 to 2400,13418,75368,13.5,Red,France,"The wine is powered both by its tannins and by its great fruit. Dark and dense both in the structure and the black-plum flavors, it is very fine wine- juicy and ripe. This is a serious wine with a great future. Drink from 2026.",,55,95,0.578947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pessac-Léognan,"44.8356039, -0.6903529",44.8356039,-0.6903529,Domaine de Chevalier 2014  Pessac-Léognan,https://www.winemag.com/buying-guide/domaine-de-chevalier-2014-pessac-leognan/,Bordeaux-style Red Blend,2014,Domaine de Chevalier
winemag 1601 to 2400,13428,75378,13.5,Red,France,"Tight tannins mask the ripe fruit in a wine that is set for long-term aging, so there is a dry core that dominates at the moment. But not for long: the bold black fruits are insistent and are going to be delicious. This is a structured wine that will be ready in 2026.",,60,95,0.631578947,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pessac-Léognan,"44.8356039, -0.6903529",44.8356039,-0.6903529,Château Malartic-Lagraviére 2014  Pessac-Léognan,https://www.winemag.com/buying-guide/chateau-malartic-lagraviere-2014-pessac-leognan/,Bordeaux-style Red Blend,2014,Château Malartic-Lagraviére
winemag 9601 to 10400,8471,241127,,Red,France,"This is a marvelously complete wine, with its impressive ripe fruit, shining through the open structure. It is firm, but not too much. Stone black fruits are just perfectly ripe. There is just a core of dryness to compliment the rest of the wine.",,60,95,0.631578947,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Branaire-Ducru 2001  Saint-Julien,https://www.winemag.com/buying-guide/chateau-branaire-ducru-2001-red-saint-julien/,Bordeaux-style Red Blend,2001,Château Branaire-Ducru
winemag 4801 to 5600,9931,133824,13.5,Red,France,"This wine has so many of the structural elements of a Saint-Estéphe, but also is enveloped by ripe fruitiness. Black in color and dense in character, it has sweetness from the plum juice fruits and great acidity. But it is also firm, powerfully projecting a serious potential. Drink from 2022.",,65,95,0.684210526,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,Château Calon Ségur 2011  Saint-Estéphe,https://www.winemag.com/buying-guide/chateau-calon-segur-2011-red-saint-estephe/,Bordeaux-style Red Blend,2011,Château Calon Ségur
winemag 801 to 1600,10388,212431,13.5,Red,France,"The ripe fruit that is a hallmark of this vintage at this estate has been maintained along with solid tannins and richness. This has both tannins and concentration although the fruit is the thing, making a wine that will develop relatively quickly. Drink from 2023.",,68,95,0.715789474,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Gruaud Larose 2015  Saint-Julien,https://www.winemag.com/buying-guide/chateau-gruaud-larose-2015-saint-julien-279164/,Bordeaux-style Red Blend,2015,Château Gruaud Larose
winemag 6401 to 7200,14981,170118,,Red,France,"Dark and structured, this is a firm wine. It has a smoky wood character, powerful tannins over intensely ripe fruit. Acidity and sweetness balance to give a dense wine, powered with richness and destined to age for many years.",,69,95,0.726315789,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Giscours 2009  Margaux,https://www.winemag.com/buying-guide/chateau-giscours-2009-red-margaux/,Bordeaux-style Red Blend,2009,Château Giscours
winemag 801 to 1600,10407,212450,13.5,Red,France,"This elegant estate, with its views down to the Gironde estuary, has produced an excellent 2015. It is properly firm with tannins although this structure is well balanced with the ripe, stylish black-currant fruits and acidity. A juicy finish bodes well for the future. Drink this generous wine from 2025.",,74,95,0.778947368,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Beychevelle 2015  Saint-Julien,https://www.winemag.com/buying-guide/chateau-beychevelle-2015-saint-julien-279160/,Bordeaux-style Red Blend,2015,Château Beychevelle
winemag 9601 to 10400,4871,237527,,Red,France,"This chateau gets better and better. The wine has power, but it is harnessed by the intense fruits, the blackberry flavors, the density and the wood. With the power, though, comes elegance, resulting in a wine that is ready to develop over many years.",,75,95,0.789473684,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Margaux,"45.0420350, -0.6775190",45.042035,-0.677519,Château Giscours 2005  Margaux,https://www.winemag.com/buying-guide/chateau-giscours-2005-red-margaux/,Bordeaux-style Red Blend,2005,Château Giscours
winemag 1601 to 2400,13407,75357,13,Red,France,Initial tight acidity in this crisp wine gives way to smooth rich black fruits. This already has a fine balance with its ripe juiciness and delicious red-berry flavors. It is going to develop into a very fine wine. Drink from 2024.,,75,95,0.789473684,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pessac-Léognan,"44.8356039, -0.6903529",44.8356039,-0.6903529,Château Haut-Bailly 2014  Pessac-Léognan,https://www.winemag.com/buying-guide/chateau-haut-bailly-2014-pessac-leognan/,Bordeaux-style Red Blend,2014,Château Haut-Bailly
winemag 801 to 1600,6183,208226,14.5,Red,France,"This wine is ripe, rich and generous. It brings out the almost-sweet character of the fruit in this vintage. At the same time, the tannins are firm and support all this fruitiness. The wine will develop well. Drink from 2024.",,75,95,0.789473684,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pessac-Léognan,"44.8356039, -0.6903529",44.8356039,-0.6903529,Domaine de Chevalier 2015  Pessac-Léognan,https://www.winemag.com/buying-guide/domaine-de-chevalier-2015-pessac-leognan/,Bordeaux-style Red Blend,2015,Domaine de Chevalier
winemag 2401 to 3200,1994,79414,13.5,Red,France,"This wine, with its massive tannins and rich fruit, is obviously set for a long life. It does have the contrast of fresh black-currant acidity to give it a lift. But with the power behind it, the wine will develop slowly. Drink from 2025.",,75,95,0.789473684,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Barton 2014  Saint-Julien,https://www.winemag.com/buying-guide/chateau-leoville-barton-2014-saint-julien/,Bordeaux-style Red Blend,2014,Château Léoville Barton
winemag 9601 to 10400,4863,237519,,Red,France,"This is opulent, but with restraint. The fruit is rich, black and delicious. Touches of spice and wood are present, lending complexity to the ripe fruits and balanced tannins. Impressive.",,80,95,0.842105263,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Branaire-Ducru 2005  Saint-Julien,https://www.winemag.com/buying-guide/chateau-branaire-ducru-2005-red-saint-julien/,Bordeaux-style Red Blend,2005,Château Branaire-Ducru
winemag 9601 to 10400,8587,241243,,Red,France,"The completeness of 2001, with its miraculous balance, is present in this wine. The acidity, ripe blackcurrants sit comfortably on top of dry tannins, the fleshiness of the fruit taking the edge off the tannins. It seems to bring out the structure, the fruit and the refreshing acidity of great Cabernet.",,80,95,0.842105263,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Léoville Poyferré 2001  Saint-Julien,https://www.winemag.com/buying-guide/chateau-leoville-poyferre-2001-red-saint-julien/,Bordeaux-style Red Blend,2001,Château Léoville Poyferré
winemag 4801 to 5600,9934,133827,13,Red,France,"Clos Fourtet is a continuing success. This 2011 is both rich and seriously structured. Ripe, with a mineral character, it starts firm and then shows generous blackberry fruits. Still young, it should not be drunk before 2018.",,85,95,0.894736842,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Émilion,"44.8943870, -0.1557290",44.894387,-0.155729,Clos Fourtet 2011  Saint-Émilion,https://www.winemag.com/buying-guide/clos-fourtet-2011-red-saint-emilion/,Bordeaux-style Red Blend,2011,Clos Fourtet
winemag 1601 to 2400,13400,75350,14.5,Red,France,"This is a beautifully perfumed wine. With a high proportion of ripe Cabernet Franc, it is not only structured but has a fine dried fruit character that gives the wine a memorable richness. The wine is tight with its tannins, likely to age over decades. Drink from 2027.",,85,95,0.894736842,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Estéphe,"45.2648099, -0.7717824",45.2648099,-0.7717824,Château Calon Ségur 2014  Saint-Estéphe,https://www.winemag.com/buying-guide/chateau-calon-segur-2014-saint-estephe/,Bordeaux-style Red Blend,2014,Château Calon Ségur
winemag 6401 to 7200,15003,170140,,Red,France,"Very supple wine, with great richness and density. It is all so complete, a pleasure, powerful yet also with sweet opulent fruits layered with dark tannins. For long-term aging.",,89,95,0.936842105,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Saint-Julien,"46.0260260, 4.6530810",46.026026,4.653081,Château Branaire-Ducru 2009  Saint-Julien,https://www.winemag.com/buying-guide/chateau-branaire-ducru-2009-red-saint-julien/,Bordeaux-style Red Blend,2009,Château Branaire-Ducru
winemag 6401 to 7200,6061,161198,,Red,France,"Dominating aromas of smoky new wood follow through to the toasty flavor that covers the fruit at this stage. But, like all 2009s, this is a rich wine that will balance out and show all of its opulence. That said, it will likely always be a firm, ageworthy wine, with the dark tannins always in evidence.",,90,95,0.947368421,Bordeaux,"44.8377890, -0.5791800",44.837789,-0.57918,Pessac-Léognan,"44.8356039, -0.6903529",44.8356039,-0.6903529,Domaine de Chevalier 2009  Pessac-Léognan,https://www.winemag.com/buying-guide/domaine-chevalier-2009-red-pessac-leognan/,Bordeaux-style Red Blend,2009,Domaine de Chevalier
