filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 4801 to 5600,12945,136838,15.1,Red,US,"Containing all red Bordeaux varieties except Malbec, this wine has a sweet vanilla-caramel character that devolves into baked prunes.",Commonwealth,40,80,0.5,California,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,Vindemia 2006 Commonwealth Red (South Coast),https://www.winemag.com/buying-guide/vindemia-2006-commonwealth-red-south-coast/,Bordeaux-style Red Blend,2006,Vindemia
winemag 8801 to 9600,15455,232436,14.3,Red,US,"This is the winery's Bordeaux blend. It's not very ripe, with an asparagus twinge in the flavor. It's also very tannic and dry. The end result is not terribly satisfying.",Methuselah,36,80,0.45,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Santa Barbara County,"34.4208305, -119.6981901",34.4208305,-119.6981901,Daniel Gehrs 2005 Methuselah Red (Santa Barbara County),https://www.winemag.com/buying-guide/daniel-gehrs-2005-methuselah-red-central-coast-santa-barbara-county/,Bordeaux-style Red Blend,2005,Daniel Gehrs
winemag 10401 to 11200,8969,24231,14.5,Red,US,"Murphy-Goode has a history of producing quality Bordeaux blends. But there's way too much new oak here, 100 percent in fact, and that, on top of a residual-sugary finish, pushes this wine into unbalance.",All In Claret,45,80,0.5625,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Alexander Valley,"38.6129647, -122.7694345",38.6129647,-122.7694345,Murphy-Goode 2003 All In Claret Red (Alexander Valley),https://www.winemag.com/buying-guide/murphy-goode-2003-all-in-claret-red-sonoma-alexander-valley/,Cabernet Blend,2003,Murphy-Goode
winemag 10401 to 11200,9050,24312,13.5,Red,US,"Softly tannic and far too sweet for a dry table wine, this Bordeaux blend pushes its cherry, blackberry, chocolate and coffee flavors almost into dessert territory.",Diamond Reserve Aria,38,80,0.475,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Paso Robles,"35.6804202, -120.6406520",35.6804202,-120.640652,Harmony Cellars 2002 Diamond Reserve Aria Red (Paso Robles),https://www.winemag.com/buying-guide/harmony-cellars-2002-diamond-reserve-aria-red-central-coast-paso-robles/,Cabernet Blend,2002,Harmony Cellars
winemag 10401 to 11200,11640,26902,,Red,US,"Very difficult to find much nice to say about this wine, except it's dry. Otherwise, it's sharp and charmless.",Limited Estate Reserve Tatria Meritage,36,80,0.45,California,South Coast,"33.6910030, -117.8889767",33.691003,-117.8889767,Temecula,"33.5051978, -117.1443378",33.5051978,-117.1443378,Stuart Cellars 2002 Limited Estate Reserve Tatria Meritage Red (Temecula),https://www.winemag.com/buying-guide/stuart-cellars-2002-limited-estate-reserve-tatria-meritage-red-south-coast-temecula/,Cabernet Blend,2002,Stuart Cellars
winemag 8801 to 9600,10254,227235,14.4,Red,US,"Harsh and overripe, with raisiny, pruny flavors that finish dry and bitter, with a trace of sweeter blackberries.",,18,80,0.225,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma County,"38.7596420, -123.0915605",38.759642,-123.0915605,Magito 2006 Red (Sonoma County),https://www.winemag.com/buying-guide/magito-2006-red-sonoma-county/,Cabernet Blend,2006,Magito
winemag 10401 to 11200,10298,25560,14.3,Red,US,"It's hard to like this wine. Starts with medicinal, porty aromas, then turns sharp and acidic, with cherry flavors.",,28,80,0.35,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Dry Creek Valley,"39.2614426, -121.3414203",39.2614426,-121.3414203,Guerrero Fernandez 2004 Cabernet Franc (Dry Creek Valley),https://www.winemag.com/buying-guide/guerrero-fernandez-2004-cabernet-franc-sonoma-dry-creek-valley/,Cabernet Franc,2004,Guerrero Fernandez
winemag 6401 to 7200,2141,157278,,Red,US,"Heavy, soft and sweet, this tastes like the syrup used to make cherry cola before being carbonated.",Estate,26,80,0.325,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Santa Ynez Valley,"34.5841542, -120.0973685",34.5841542,-120.0973685,Buttonwood Farm 2009 Estate Cabernet Franc (Santa Ynez Valley),https://www.winemag.com/buying-guide/buttonwood-farm-2009-estate-cabernet-franc-central-coast-santa-ynez-valley/,Cabernet Franc,2009,Buttonwood Farm
winemag 8801 to 9600,1700,218681,15.5,Red,US,"Like a sugary punch drink, with raspberry, cherry, brandy and spice flavors.",Watts Vineyard,40,80,0.5,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Lodi,"38.1341477, -121.2722194",38.1341477,-121.2722194,Watts 2004 Watts Vineyard Cabernet Franc (Lodi),https://www.winemag.com/buying-guide/watts-2004-vineyard-cabernet-franc-central-valley-lodi/,Cabernet Franc,2004,Watts
winemag 9601 to 10400,10922,243578,13,Rose,US,"Heavy, sweet and cloying, with candied flavors of puréed cherries and vanilla.",Cabernet Franc Rosé,16,80,0.2,California,Lake County,"39.0839644, -122.8084496",39.0839644,-122.8084496,Lake County,"39.0839644, -122.8084496",39.0839644,-122.8084496,Steele 2006 Cabernet Franc Rosé Cabernet Franc (Lake County),https://www.winemag.com/buying-guide/steele-2006-cabernet-franc-rose-mendocino-lake-counties-lake-county/,Cabernet Franc,2006,Steele
