filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating, cost per point ,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 1 to 800,5817,5817,14.68,White,US,"This is a good, basic wine with modest amounts of fruitiness and butteriness mingling on a medium body. A chalky, earthy note comes in on the midpalate and lingers.",Buttercup,21,85, $0.25 ,California,Central Valley,"40.1998777, -122.2011075",40.1998777,-122.2011075,Lodi,"38.1341477, -121.2722194",38.1341477,-121.2722194,Viaggio 2016 Buttercup Chardonnay (Lodi),https://www.winemag.com/buying-guide/viaggio-2016-buttercup-chardonnay-lodi/,Chardonnay,2016,Viaggio
winemag 1 to 800,10191,10191,12.5,White,US,"Aromas of orange blossom and mandarin pith show on the somewhat flat nose of this bottling. There's a burst of acid on the tip of the sip, but it quickly fades into dried apple and orange-rind flavors.",,10,85, $0.12 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Carson Ridge 2016 Chardonnay (Central Coast),https://www.winemag.com/buying-guide/carson-ridge-2016-chardonnay-central-coast/,Chardonnay,2016,Carson Ridge
winemag 1 to 800,10214,10214,13.8,White,US,"This wine is quietly floral with a thick entry of simple, lemon-lime flavors and a rounded structure.",,24,85, $0.28 ,California,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Carneros Ranch 2016 Chardonnay (Carneros),https://www.winemag.com/buying-guide/carneros-ranch-2016-chardonnay-carneros-292296/,Chardonnay,2016,Carneros Ranch
winemag 1 to 800,10261,10261,14.5,White,US,"This wine is flabby and full-bodied, with ripe flavors of green olive and apple. There's a lingering sweetness to the finish.",,35,85, $0.41 ,California,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Provenance Vineyards 2016 Chardonnay (Carneros),https://www.winemag.com/buying-guide/provenance-vineyards-2016-chardonnay-carneros-293670/,Chardonnay,2016,Provenance Vineyards
winemag 1 to 800,13991,13991,14.4,White,US,"Muted aromatically, this wine is intense in oak and richness, a mix of tropical pineapple, baked apple and robust butterscotch.",Belle Terre Vineyard,30,85, $0.35 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Alexander Valley,"38.6129647, -122.7694345",38.6129647,-122.7694345,Chateau St. Jean 2016 Belle Terre Vineyard Chardonnay (Alexander Valley),https://www.winemag.com/buying-guide/chateau-st-jean-2016-belle-terre-vineyard-chardonnay-alexander-valley/,Chardonnay,2016,Chateau St. Jean
winemag 10401 to 11200,107,15369,14.3,White,US,"Puts all the pieces of the puzzle together, combining ripe tropical fruit, ample sweet oak and coastal acidity, but the picture is a little blurry. The wine is decadently ripe and obvious.",Castello,28,85, $0.33 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Testarossa 2005 Castello Chardonnay (Central Coast),https://www.winemag.com/buying-guide/testarossa-2005-castello-chardonnay-central-coast/,Chardonnay,2005,Testarossa
winemag 10401 to 11200,108,15370,13.5,White,US,"A new Chard from this producer. It shows typical Napa characteristics of dryness and a dried herb earthiness, in addition to the apple, pear, oak and lees flavors. The texture is great, brimming with crisp acidity, yet the wine would benefit from richer fruit.",Karia,32,85, $0.38 ,California,Napa,"38.5024689, -122.2653887",38.5024689,-122.2653887,Napa Valley,"38.5024689, -122.2653887",38.5024689,-122.2653887,Stag's Leap Wine Cellars 2005 Karia Chardonnay (Napa Valley),https://www.winemag.com/buying-guide/stags-leap-wine-cellars-2005-karia-chardonnay-napa-valley/,Chardonnay,2005,Stag's Leap Wine Cellars
winemag 10401 to 11200,348,15610,14.3,White,US,"Simple and citrusy, this high-acid (7.2 grams) Chard has slightly sweet Meyer lemon, pink grapefruit, green pear and vanilla flavors. It's a clean, easy to like wine.",,15,85, $0.18 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Pietra Santa 2005 Chardonnay (Central Coast),https://www.winemag.com/buying-guide/pietra-santa-2005-chardonnay-central-coast/,Chardonnay,2005,Pietra Santa
winemag 10401 to 11200,375,15637,,White,US,"Like the Pinot Gris, this is fairly weighty, with ample concentration and richness at its price point. Pear and melon flavors easily carry the light touches of spicy oak. Drink now.",Selected Vineyards,10,85, $0.12 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Concannon 2005 Selected Vineyards Chardonnay (Central Coast),https://www.winemag.com/buying-guide/concannon-2005-selected-chardonnay-central-coast/,Chardonnay,2005,Concannon
winemag 10401 to 11200,473,15735,14.3,White,US,"Polished and elegant, but a little earthy, with a thyme and sage edge to the fruit, and a soft, oaky finish. Could use more brightness and fruity richness.",Vineburg Vineyard,30,85, $0.35 ,California,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Silverado 2005 Vineburg Vineyard Chardonnay (Carneros),https://www.winemag.com/buying-guide/silverado-2005-vineburg-vineyard-chardonnay-napa-sonoma-carneros/,Chardonnay,2005,Silverado
