filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region / state,subregion,subregion lat lon,subregion lat,subregion lon,subsubregion,subsubregion lat lon,subsubregion lat,subsubregion lon,title,url,varietal,vintage,winery
winemag 1 to 800,157,157,14.4,White,US,"This has gorgeous aromas of ginger and crushed rock, a stony mineral component that's irresistible and memorable. Balanced in richness, it sings in baked pear and honeysuckle, finding a touch of restraint within a medium-bodied frame of welcome decadence.",Gap's Crown,58,95, $0.61 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,Black Kite 2016 Gap's Crown Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/black-kite-2016-gaps-crown-chardonnay-sonoma-coast/,Chardonnay,2016,Black Kite
winemag 1 to 800,170,170,14.5,White,US,"This lovely vineyard-designate is expertly put together, showing honeyed concentration and evolved flavors of baked apple and apricot. Floral in honeysuckle and apple blossom, it has substantive layers of bold texture and body, with a steely undertow of fresh acidity.",Toyon Vineyard,125,95, $1.32 ,California,Carneros,"38.2630002, -122.3415289",38.2630002,-122.3415289,Los Carneros,"34.4417708, -119.8487934",34.4417708,-119.8487934,Alpha Omega 2015 Toyon Vineyard Chardonnay (Los Carneros),https://www.winemag.com/buying-guide/alpha-omega-2015-toyon-vineyard-chardonnay-los-carneros/,Chardonnay,2015,Alpha Omega
winemag 1 to 800,2218,2218,14.3,White,US,"Medium bodied and gritty on the palate, this has a richness of crème brûlée, the fruit a mix of quince and stone fruit. The acidity is emphasized in lingering layers of lime salt that remain vibrant on the finish.",Old Wente,55,95, $0.58 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,Lynmar 2016 Old Wente Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/lynmar-2016-old-wente-chardonnay-russian-river-valley/,Chardonnay,2016,Lynmar
winemag 1 to 800,2224,2224,14.4,White,US,"Creamy stone-fruit and lemon-curd flavors provide an elegant richness to this coastal white. It is a bold, layered example of the variety that is well balanced by honed acidity.",Susanna's Vineyard,60,95, $0.63 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,Lynmar 2016 Susanna's Vineyard Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/lynmar-2016-susannas-vineyard-chardonnay-sonoma-coast/,Chardonnay,2016,Lynmar
winemag 1 to 800,2238,2238,13.2,White,US,"Clean and bright aromas of sharp lemon, crushed chalk and lightly toasted almond are very reminiscent of Alex Gambal's bottlings from Burgundy on the nose of this promising collaboration project with Peter Work of Ampelos Cellars. There is phenomenal tension to the palate, with tightly woven citrus, chalk and seared nectarine flavors.",Bentrock Vineyard,65,95, $0.68 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Sta. Rita Hills,"34.6659565, -120.1152408",34.6659565,-120.1152408,Gambal + Work 2016 Bentrock Vineyard Chardonnay (Sta. Rita Hills),https://www.winemag.com/buying-guide/gambal-work-2016-bentrock-vineyard-chardonnay-sta-rita-hills-305103/,Chardonnay,2016,Gambal + Work
winemag 1 to 800,2240,2240,13.5,White,US,"Rich aromas of sandalwood, cinnamon, brioche French toast, vanilla and nutmeg make for a lush and attention-grabbing entry to this bottling. There is great cohesion of those spices on the plate alongside a bright lemony streak that cuts through the white peach and Marcona almond flavors.",Nuits-Blanches au Bouge,40,95, $0.42 ,California,Central Coast,"35.6368759, -120.6545022",35.6368759,-120.6545022,Santa Maria Valley,"34.9530337, -120.4357191",34.9530337,-120.4357191,Au Bon Climat 2015 Nuits-Blanches au Bouge Chardonnay (Santa Maria Valley),https://www.winemag.com/buying-guide/au-bon-climat-2015-nuits-blanches-au-bouge-chardonnay-santa-maria-valley-305034/,Chardonnay,2015,Au Bon Climat
winemag 1 to 800,6026,6026,14.2,White,US,"Winemaker Katy Wilson impresses with this bottling, coaxing together a wine that's briny and salty, perfectly consistent with this coastal-influenced Occidental site. A flavor of Asian pear accents a moderate structure and lingering complexity.",Charles Heintz Vineyard,60,95, $0.63 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,LaRue 2016 Charles Heintz Vineyard Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/larue-2016-charles-heintz-vineyard-chardonnay-sonoma-coast-302529/,Chardonnay,2016,LaRue
winemag 1 to 800,6034,6034,14.5,White,US,"The longtime grape-growing Sangiacomo family has partnered with winemaker James MacPhail to produce this beauty. A floral aroma carries to the balanced, full-bodied palate of Asian pear, fig and pineapple flavors, finishing on a crème caramel note.",Green Acres Vineyard,65,95, $0.68 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Sonoma Coast,"38.5779555, -122.9888319",38.5779555,-122.9888319,Sangiacomo 2016 Green Acres Vineyard Chardonnay (Sonoma Coast),https://www.winemag.com/buying-guide/sangiacomo-2016-green-acres-vineyard-chardonnay-sonoma-coast/,Chardonnay,2016,Sangiacomo
winemag 1 to 800,10500,10500,13.9,White,US,"Nutty and tart in acidity, this is complex in flavors of Granny Smith apple, lime and tangerine. The texture on the palate is lush yet structured in acidity, which gives this wine cellar-worthy potential. Enjoy 2025-2030.",Westside Farms,55,95, $0.58 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,Gary Farrell 2015 Westside Farms Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/gary-farrell-2015-westside-farms-chardonnay-russian-river-valley/,Chardonnay,2015,Gary Farrell
winemag 1 to 800,12480,12480,14.7,White,US,"A matchstick tone rules the nose of this tremendously powerful white, which evolves to show toasted oak and salty notes. The robust palate unravels in layers of Gravenstein apple, fig and crushed rock, with plenty of length on the nutmeg-laden finish.",Ritchie Vineyard,85,95, $0.89 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Russian River Valley,"38.9119799, -123.0537083",38.9119799,-123.0537083,Hertelendy 2015 Ritchie Vineyard Chardonnay (Russian River Valley),https://www.winemag.com/buying-guide/hertelendy-2015-ritchie-vineyard-chardonnay-russian-river-valley-294877/,Chardonnay,2015,Hertelendy
winemag 1 to 800,13860,13860,14.4,White,US,"A youthful, tightly concentrated wine, this opens slowly to reveal a great depth of character and depth of flavor. Toffee, Meyer lemon and crisp apple meet a balanced richness of integrated oak, sublime texture and floral aromatics and brine that tease of the sea.",Estate Grown Wayfarer Vineyard,80,95, $0.84 ,California,Sonoma,"38.2918590, -122.4580356",38.291859,-122.4580356,Fort Ross-Seaview,"38.5140796, -123.2436186",38.5140796,-123.2436186,Wayfarer 2015 Estate Grown Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),https://www.winemag.com/buying-guide/wayfarer-2015-estate-grown-wayfarer-vineyard-chardonnay-fort-ross-seaview-291415/,Chardonnay,2015,Wayfarer
