filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 12001 to 12800,8162,54853,12.7,White,France,,Chasan,6,80,0.08,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,L'Orval NV Chasan Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/lorval-nv-chasan-chardonnay-vin-pays-doc/,Chardonnay,NV,L'Orval
winemag 10401 to 11200,4207,19469,,White,France,"Rather rustic flavors, but there is some green fruit and a hint of cream.This Tetrapak-packed wine has a full-bodied texture, with only light acidity.",Chardonnay,10,80,0.13,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,French Rabbit 2005 Chardonnay Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/french-rabbit-2005-chardonnay-vin-pays-doc/,Chardonnay,2005,French Rabbit
winemag 8001 to 8800,5384,191789,,White,France,"Way too much wood, all toast, spice and green wood.",Cray,23,80,0.29,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Viré-Clessé,"46.4489132, 4.8490114",46.4489132,4.8490114,René Michel et Fils 2008 Cray  (Viré-Clessé),https://www.winemag.com/buying-guide/rene-michel-fils-2008-cray-chardonnay-vire-clesse/,Chardonnay,2008,René Michel et Fils
winemag 12001 to 12800,7575,54266,12.5,White,France,"It's hard to find any noticeable fruit on the nose, and there isn't much more in the mouth, except for a smidgen of citrus and green apple. It finishes mild and short. --M.S.",,10,81,0.12,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Fortant 1999 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/fortant-1999-chardonnay-vin-pays-doc/,Chardonnay,1999,Fortant
winemag 9601 to 10400,7059,239715,12.5,White,France,"Lacking intensity, the nose exhibits mild notes of ripe red apple while the palate adds a touch of canteloupe. Fat and round with a fleeting finish, the wine never really makes a strong impression.",Kosher,13,81,0.16,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Fortant 2005 Kosher Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/fortant-2005-kosher-chardonnay-vin-pays-doc/,Chardonnay,2005,Fortant
winemag 11201 to 12000,15674,46623,13,White,France,Melon and peach aromas start out fine but lose clarity. Citrus flavors that aren't quite full precede mild lemon and banana on the tail end. Nondescript and turns hot at the end. Kosher.,Estate Bottled,14,81,0.17,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays de L'Aude,"42.9569049, 2.2593428",42.9569049,2.2593428,Abarbanel 2001 Estate Bottled Chardonnay (Vin de Pays de L'Aude),https://www.winemag.com/buying-guide/abarbanel-2001-estate-bottled-chardonnay-vin-pays-laude/,Chardonnay,2001,Abarbanel
winemag 6401 to 7200,4779,159916,12.5,White,France,"This is bitter, with hints of sulfur, yeast and almond. It's soft in texture and lacking fruit.",,20,81,0.25,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Bourgogne,"47.0525047, 4.3837215",47.0525047,4.3837215,Manuel Seguin 2010  Bourgogne,https://www.winemag.com/buying-guide/manuel-seguin-2010-chardonnay-bourgogne/,Chardonnay,2010,Manuel Seguin
winemag 8001 to 8800,5334,191739,,White,France,"Artificial perfumes, the wine tastes more like fruit candy.",Serreudiéres,25,81,0.31,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Chânes,"46.2510930, 4.7569070",46.251093,4.756907,Dominique Cornin 2008 Serreudiéres  (Mâcon-Chânes),https://www.winemag.com/buying-guide/dominique-cornin-2008-serreudieres-chardonnay-macon-chanes/,Chardonnay,2008,Dominique Cornin
winemag 8001 to 8800,5390,191795,,White,France,"Asparagus aromas, a wine that has lost fruit, gained vegetable characters, not very pleasant.",Vieilles Vignes,25,81,0.31,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Viré-Clessé,"46.4489132, 4.8490114",46.4489132,4.8490114,Domaine des Chazelles 2008 Vieilles Vignes  (Viré-Clessé),https://www.winemag.com/buying-guide/domaine-chazelles-2008-vieilles-vignes-chardonnay-vire-clesse/,Chardonnay,2008,Domaine des Chazelles
winemag 11201 to 12000,6749,37698,,White,France,"There are sweet vanilla aromas, along with aromas of green plums. This is a soft, creamy wine, with just a touch of greeness, and a full, creamy texture.",,6,82,0.07,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Barton & Guestier 2002 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/barton-guestier-2002-chardonnay-vin-pays-doc/,Chardonnay,2002,Barton & Guestier
winemag 12001 to 12800,8170,54861,13,White,France,"Medium-full in the mouth, the wine has toasty oak and stone fruit flavors, and a short- to medium-length, stony-mineral finish. A faux-butter note (akin to the smell of movie-popcorn butter) dominates the palate after a few minutes of aeration.",,6,82,0.07,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Fortant 2000 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/fortant-2000-chardonnay-vin-pays-doc/,Chardonnay,2000,Fortant
winemag 11201 to 12000,6756,37705,12.5,White,France,"Slightly nutty and plywoody on the nose, partially redeemed by a plump mouthfeel. Flavors tend toward unripe pear and grapefruit.",,7,82,0.09,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Domaine de L'Olivier 2003 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/domaine-lolivier-2003-chardonnay-vin-pays-doc/,Chardonnay,2003,Domaine de L'Olivier
winemag 12001 to 12800,8182,54873,12.5,White,France,,Tradition Saint-Louis,8,82,0.1,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Barton & Guestier 1999 Tradition Saint-Louis  (Mâcon-Villages),https://www.winemag.com/buying-guide/barton-guestier-1999-tradition-saint-louis-chardonnay-macon-villages/,Chardonnay,1999,Barton & Guestier
winemag 11201 to 12000,15683,46632,12.5,White,France,"Sweet, light and floral, but not fruity. Lemon and orange flavors yield to a zesty finish. Simple and very high in acidity.",Nid D'Abeille,8,82,0.1,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Mommessin 2002 Nid D'Abeille Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/mommessin-2002-nid-dabeille-chardonnay-vin-pays-doc/,Chardonnay,2002,Mommessin
winemag 12001 to 12800,12813,59504,,White,France,"A rustic wine, with earthy, tree-bark aromas and lean, sparse flavors that just barely veer into grapefruit. Very dry and acidic; it puckers the palate. Lean and tart. Will satisfy those who like this kind of wine, but doesn't have much to do with Chardonnay. Kosher.",,8,82,0.1,Loire Valley,"47.5532402, 1.0105289",47.5532402,1.0105289,Vin de Pays du Jardin de la France,"47.3941440, 0.6848400",47.394144,0.68484,Herzog Selection 1998 Chardonnay (Vin de Pays du Jardin de la France),https://www.winemag.com/buying-guide/herzog-selection-1998-chardonnay-vin-pays-jardin/,Chardonnay,1998,Herzog Selection
winemag 12001 to 12800,8019,54710,,White,France,"A thick, gluey wine with the most curious texture, very soft and flaccid. Low in acidity, with Chardonnay flavors of apples. Not much to recommend this clumsy wine.",Les Charmes,9,82,0.11,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Lugny,"46.4716720, 4.8098200",46.471672,4.80982,Cave de Lugny 2001 Les Charmes  (Mâcon-Lugny),https://www.winemag.com/buying-guide/cave-lugny-2001-charmes-chardonnay-macon-lugny/,Chardonnay,2001,Cave de Lugny
winemag 11201 to 12000,15137,46086,13,White,France,"Lemony, light and simple, with a hint of butterscotch on the nose.",,9,82,0.11,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Maison Jaffelin 2001  Mâcon-Villages,https://www.winemag.com/buying-guide/maison-jaffelin-2001-chardonnay-macon-villages/,Chardonnay,2001,Maison Jaffelin
winemag 12001 to 12800,8178,54869,12.5,White,France,,Mâcon Villages,9,82,0.11,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Georges Duboeuf 2000 Mâcon Villages  (Mâcon-Villages),https://www.winemag.com/buying-guide/georges-duboeuf-2000-macon-villages-chardonnay-macon-villages/,Chardonnay,2000,Georges Duboeuf
winemag 1 to 800,10074,10074,12,White,France,"There's a cheesy underlay to the nose of this wine, with more pleasant and pronounced scents of toasted apple and bruised citrus upfront. The medium-weight palate is round and soft, with low acidity and a short finish.",Pyréne L'inarrêtable Le Blanc Beurré,10,82,0.12,France,null,null,null,Vin de France,null,null,null,Lionel Osmin & Cie 2016 Pyréne L'inarrêtable Le Blanc Beurré Chardonnay (Vin de France),https://www.winemag.com/buying-guide/lionel-osmin-cie-2016-pyrene-linarretable-le-blanc-beurre-chardonnay-vin-de-france-294197/,Chardonnay,2016,Lionel Osmin & Cie
winemag 10401 to 11200,4364,19626,,White,France,"The wine is well made, with some attractive spicy wood. But the fruit is less exciting. A soft, smooth but anonymous style.",,10,82,0.12,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Lulu B. 2005 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/lulu-b-2005-chardonnay-vin-pays-doc/,Chardonnay,2005,Lulu B.
winemag 11201 to 12000,6759,37708,13,White,France,"No lack of weight here, but the heaviness isn't well balanced by big fruit or crisp acids. Instead you get modest pear and peach flavors and a short finish.",Classic,10,82,0.12,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Gérard Bertrand 2003 Classic Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/gerard-bertrand-2003-classic-chardonnay-vin-pays-doc/,Chardonnay,2003,Gérard Bertrand
winemag 12001 to 12800,12808,59499,,White,France,"Has earthy, lemony aromas, with a faux-oak and vanilla note. Drinks ripely fruity and a little sweet, and finishes slightly sweet. On the simple side.",Mediterranean,10,82,0.12,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Vichon 1997 Mediterranean Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/vichon-1997-mediterranean-chardonnay-vin-pays-doc/,Chardonnay,1997,Vichon
winemag 8801 to 9600,12280,229261,12.5,White,France,"Made in quite a ripe style, with caramel and poached pear aromas that carry through to the slightly watery palate. Lemon, pear and mineral notes show through on the short but flavorful finish. Drink up.",Petit Bistro,10,82,0.12,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Labouré-Roi 2006 Petit Bistro Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/laboure-roi-2006-petit-bistro-chardonnay-vin-pays-doc/,Chardonnay,2006,Labouré-Roi
winemag 12001 to 12800,8184,54875,13,White,France,,,12,82,0.15,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Mâcon-Villages,"46.3068839, 4.8287310",46.3068839,4.828731,Louis Jadot 2000  Mâcon-Villages,https://www.winemag.com/buying-guide/louis-jadot-2000-chardonnay-macon-villages/,Chardonnay,2000,Louis Jadot
winemag 8801 to 9600,12272,229253,13,White,France,"The nose brings to mind a caramel-coated apple and leads to a fairly simple but pleasant, lemon-infused palate with a crisp finish. Undertones of straw make us suspect this wine would have been better if released sooner.",,12,82,0.15,Languedoc-Roussillon,"43.5912356, 3.2583626",43.5912356,3.2583626,Vin de Pays d'Oc,"43.5912356, 3.2583626",43.5912356,3.2583626,Red Bicyclette 2005 Chardonnay (Vin de Pays d'Oc),https://www.winemag.com/buying-guide/red-bicyclette-2005-chardonnay-vin-pays-doc/,Chardonnay,2005,Red Bicyclette
