"index","alcohol","category","country","description","designation","price","rating","region","subregion","title","url","varietal","vintage","winery"
"3",NULL,"Sparkling","France","This is the current vintage of the limited-release Collection series, in which wines are held in stock, in bottle, by Krug for later release. This fabulous 1981 is mature, but still evolving. Gold in color, it is toasty, integrating flavors of nuts, cocoa and toffee, along with still fresh acidity.","Collection","500","98","Champagne","Champagne","Krug 1981 Collection  (Champagne)","https://www.winemag.com/buying-guide/krug-1981-collection-sparkling-champagne/","Champagne Blend","1981","Krug"
"4","12","Sparkling","France","Unusual, in that not many houses declared 1981 a vintage year. This is a supple, beautiful wine, virtually orange in color, a fact that hints at its earthy, autumnal palate impression. Shows hints of mushroom, clarified butter and demi-glace notes on the nose, with baked apple and earth flavors in the mouth. Mature and sexy; drink now.","Champagne Charlie Brut","150","92","Champagne","Champagne","Charles Heidsieck 1981 Champagne Charlie Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1981-champagne-charlie-brut-sparkling-champagne/","Champagne Blend","1981","Charles Heidsieck"
"5","12","Sparkling","France","Bright gold in color, with saffron, butter and toffee aromas. This is an elegant Champagne, with butter-even Sherry-flavors, and dried apricot fruit on the palate. Finishes a little shorter than we'd like, with mature cheese-rind and dust flavors. Rendall recommends that you drink this with roasted, stuffed turkey at Thanksgiving, though, she admits, you won't have much opportunity to do so-there are only 77 bottles of it left in the Heidsieck cellars.","Blanc de Blancs des Chardonnay","185","91","Champagne","Champagne","Charles Heidsieck 1982 Blanc de Blancs des Chardonnay  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1982-blanc-blancs-chardonnay-sparkling-champagne/","Champagne Blend","1982","Charles Heidsieck"
"7","12","Sparkling","France","This was the first Cuvée of Blanc des Millenaires; Rendall is quick to clarify that the idea behind it was ""not because of the millenniumâ""¦it was to have a wine that you'll age for at least 10 years."" If the key to Heidsieck's Pinot-Chard blends is ""richness,"" it's ""crispness"" for this blanc des blancs. It has a sprightly, fresh mouthfeel with ginger, pear and stone flavors, and a dusting of powdered sugar on the finish.","Blanc des Millénaires","170","91","Champagne","Champagne","Charles Heidsieck 1983 Blanc des Millénaires  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1983-blanc-millenaires-sparkling-champagne/","Champagne Blend","1983","Charles Heidsieck"
"8",NULL,"Sparkling","France","93 Veuve Clicquot 1985 Brut (Champagne); $tk/1.5 L.","Brut","280","93","Champagne","Champagne","Veuve Clicquot Ponsardin 1985 Brut  (Champagne)","https://www.winemag.com/buying-guide/veuve-clicquot-ponsardin-1985-brut-sparkling-champagne/","Champagne Blend","1985","Veuve Clicquot Ponsardin"
"9",NULL,"Sparkling","France","Tasted from a magnum disgorged in '97, this provides ample evidence that '85 was a great year for Clicquot. Toasty, but seems less evolved than the '85 Brut, with a deep copper color, meaty, savory aromas, berry flavors and a full, creamy texture. Long on the finish. It's made from the same base as the '85 Brut, but with 14.5% red from Bouzy added.","Brut Rosé","250","93","Champagne","Champagne","Veuve Clicquot Ponsardin 1985 Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/veuve-clicquot-ponsardin-1985-brut-rose-sparkling-champagne/","Champagne Blend","1985","Veuve Clicquot Ponsardin"
"10","12","Sparkling","France","One of the most famous brand names in Champagne gets its name from an exceptional salesman in the 19th century who had a music hall song written in his honor. He would have been proud to have sold this wine which, despite its age, is still impressively fresh and fruity. Flavors of almonds and toast blend well with green fruits, well proportioned to go with food rather than as an apéritif.","Champagne Charlie Brut","125","91","Champagne","Champagne","Charles Heidsieck 1985 Champagne Charlie Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1985-champagne-charlie-brut-champagne-36822/","Champagne Blend","1985","Charles Heidsieck"
"11","12","Sparkling","France","Medium-bodied with a silky mouthfeel, there's a distinct meatiness, or nuttiness, dominating the palate, plus candied apricot and peach flavors. The wine finishes medium-long with mushroom notes. Chalk and biscuit aromas are wide and deep. Still a vibrant wine; 55% Chardonnay, 45% Pinot Noir, with consistent bead. Lovely, and at its peak.","Champagne Charlie Brut","125","93","Champagne","Champagne","Charles Heidsieck 1985 Champagne Charlie Brut  (Champagne)","https://www.winemag.com/buying-guide/charles-heidsieck-1985-champagne-charlie-brut-sparkling-champagne/","Champagne Blend","1985","Charles Heidsieck"
"12",NULL,"Sparkling","France","An enormously complex and rich wine that almost defies description. Golden apples, raisins and pears; bread, cream, vanilla, honey and nuts. The list goes on and on. Full and rich; the mousse is extremely fine and creamy-textured in the mouth. Drinking beautifully now, it will probably hold another ten years or more. Even better than a bottle reviewed last year.","Le Mesnil Blanc de Blancs Brut","216","96","Champagne","Champagne","Salon 1985 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne)","https://www.winemag.com/buying-guide/salon-1985-le-mesnil-blanc-blancs-brut-chardonnay-champagne/","Chardonnay","1985","Salon"
"15",NULL,"Sparkling","France","This is certainly a mature wine, perhaps too mature. The aromas are of mature fruit, the color is orange to pink. Its lack of fresh fruit flavors is compensated for by the rich, toasty, almost woody flavors. On the plus side, the maturity of this Champagne would make it a good partner with heavy meats.","Brut Rosé","165","89","Champagne","Champagne","Ruinart 1988 Brut Rosé  (Champagne)","https://www.winemag.com/buying-guide/ruinart-1988-brut-rose-sparkling-champagne/","Champagne Blend","1988","Ruinart"
